AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,solid_blockage_e,V_round,AoA_round,AoS_round,ewb_t_fit,q_ratio_wake,V_wake_corr,CL_solid_blockage_corr_wake_corr,CD_solid_blockage_corr_wake_corr,CMroll_solid_blockage_corr_wake_corr,CMpitch_solid_blockage_corr_wake_corr,CMyaw_solid_blockage_corr_wake_corr
2.496,3.995,39.98902232503535,39.70199918346246,0.0,-10.0,0.5074370908907785,0.5001789241109191,0.0272404270152093,0.0268507914012972,0.0642656443005688,0.0633464155470501,-0.027006464733616,-0.0266201756178028,-0.1057426421126703,-0.1042301438227848,-0.0075297276901318,-0.0074220256313682,0.007229438,39.5,2.5,4.0,0.0012313695417634188,1.0024627390835268,39.75085695351676,0.4989501401001633,0.026784827360111934,-0.026554778127852955,-0.10397408278543525,-0.007403792023385904
2.496,8.0,19.986195193269104,19.84274331075409,0.0,-10.0,0.526554258346849,0.5190226476421258,0.0541687361689597,0.0533939293437859,0.1757821745688958,0.1732678602571301,-0.0547685360276957,-0.0539851499175476,-0.1585959024153051,-0.1563274133139036,-0.0236959170275428,-0.0233569805940911,0.007229438,20.0,2.5,8.0,0.001665396154553093,1.0033307923091062,19.875761867527423,0.5172996300129751,0.053216675649815304,-0.053805933527968364,-0.15580844773449576,-0.02327944160901949
2.496,8.0,40.002020851990096,39.71490441286139,0.0,-10.0,0.5321421062571225,0.5245305693254811,0.0391994878946521,0.0386387949024922,0.178739733544897,0.1761831155531394,-0.0539422666768808,-0.0531706991760953,-0.1474887395159128,-0.1453791226022604,-0.0247084675972208,-0.0243550480661798,0.007229438,39.5,2.5,8.0,0.00141630819034378,1.0028326163806875,39.771113180938585,0.5230489722388156,0.03852965517011509,-0.05302051240414687,-0.14496848250403607,-0.024286254424072624
2.496,9.995,19.990101533520384,19.846621613059312,0.0,-10.0,0.5344413829247724,0.5267969581064817,0.0701945016296991,0.0691904689939233,0.1168528586049268,0.1151814444499839,-0.0180104741916981,-0.017752859941943,-0.2206557243383189,-0.2174995576391784,-0.0029028158463359,-0.0028612951890521,0.007229438,20.0,2.5,10.0,0.0022593612542267426,1.0045187225084535,19.891411759429946,0.5244272170368118,0.06887922289904459,-0.017673000556536266,-0.21652115860622798,-0.0028484239516282594
2.496,10.0,39.98594394612135,39.69894289976198,0.0,-10.0,0.5391445472218214,0.5314328503190224,0.0425659721799614,0.041957126412131,0.2288392853305085,0.2255660644159771,-0.0694540492344766,-0.068460607718415,-0.1474143332024063,-0.1453057805653758,-0.03668401647321,-0.0361593037265515,0.007229438,39.5,2.5,10.0,0.0015945817171005472,1.0031891634342012,39.76219571754887,0.5297434119999632,0.04182374365817495,-0.06824296973469582,-0.14484384985574691,-0.0360443523958811
2.496,0.0,39.99601266937408,39.708939354266654,0.0,-5.0,0.5020394430773697,0.4948584819822187,0.0201568689168418,0.019868553539459,-0.0145807411481846,-0.0143721843577424,-0.0017515307387681,-0.0017264775795681,-0.0954889345465441,-0.0941231009781834,0.0056664426230778,0.0055853922104353,0.007229438,39.5,2.5,0.0,0.0010667588620436252,1.0021335177240873,39.7512766474157,0.4938049403896555,0.01982625387541355,-0.001722801951070399,-0.09392271520060849,0.005573501047165952
2.496,4.0,39.98316648035563,39.69618536939111,0.0,-5.0,0.5069094268007552,0.4996588075061662,0.026605160147471,0.0262246111237166,0.082460817580431,0.0812813327190629,-0.0307105088629618,-0.0302712386574069,-0.1045177266939827,-0.1030227490791911,-0.0152849991728488,-0.0150663689717497,0.007229438,39.5,2.5,4.0,0.0012305891813845973,1.0024611783627693,39.745005045626016,0.4984320772622981,0.026160226141172797,-0.030196918654591915,-0.10276981423604752,-0.01502937898937519
2.496,8.0,39.99220306840241,39.70515709689018,0.0,-5.0,0.5318076632455025,0.524200910046072,0.0394478913878267,0.0388836453365496,0.1974856142922642,0.1946608631046046,-0.057595998735445,-0.0567721697876229,-0.1444775653799535,-0.1424110190349969,-0.032718946086422,-0.0322509480393348,0.007229438,39.5,2.5,8.0,0.0014753075122212406,1.0029506150244425,39.76369126728198,0.5226587452995349,0.03876925219852623,-0.05660514978221468,-0.1419920551437383,-0.03215606786237309
2.496,9.995,39.978614543068126,39.69166610385361,0.0,-5.0,0.5396096341735003,0.5318912848625053,0.0435547389421536,0.0429317502703156,0.2466370054763021,0.243109213456429,-0.0725168804158208,-0.0714796294504071,-0.1480287840177673,-0.1459114425346395,-0.044547144956313,-0.0439099613261374,0.007229438,39.5,2.5,10.0,0.0019027858939356767,1.0038055717878713,39.76711912891351,0.529874808241159,0.042768989809301564,-0.07120863985950508,-0.14535827119863223,-0.04374349232583922
2.496,-9.995,19.98019463460076,19.83678582138577,0.0,0.0,0.5424307295534128,0.5346720284803238,0.0485812098266065,0.0478863246287786,-0.1502761734086956,-0.1481266862127071,0.0235134989555778,0.0231771717535239,-0.1929545707908949,-0.190194629744256,0.0323072894092517,0.0318451795261804,0.007229438,20.0,2.5,-10.0,0.0020689274822321977,1.0041378549644644,19.877784325047898,0.5324687500196329,0.04768899448619359,0.023081663178950784,-0.18941087501475265,0.031713951793309665
2.496,-10.0,39.99038738198461,39.703354442649456,0.0,0.0,0.550173243465827,0.5423037967293237,0.0330831594073885,0.0326099518061034,-0.1877446770096469,-0.1850592560929876,0.0434985789564655,0.0428763935734485,-0.1800996816466455,-0.1775236115290744,0.0422277130626462,0.0416237056109979,0.007229438,39.5,2.5,-10.0,0.0018583061821089949,1.003716612364218,39.777067004925556,0.5402957269502064,0.032489202036112406,0.04271762870642812,-0.17686626816998074,0.041469579259981335
2.496,-8.0,19.97956068255744,19.836156419563903,0.0,0.0,0.5388933321991878,0.5311852285704411,0.0510083874364307,0.0502787849106567,-0.1110990076552229,-0.1095098941648729,0.0020811132065836,0.0020513458383475,-0.2022587346772815,-0.1993657107826466,0.0084527842915635,0.0083318792193019,0.007229438,20.0,2.5,-8.0,0.0018417684919678399,1.0036835369839356,19.872656446055984,0.5292357690419535,0.050094260848139664,0.0020438173615079753,-0.1986340349685715,0.00830130106979652
2.496,-4.0,19.98946635397758,19.845990992548398,0.0,0.0,0.5107006227626402,0.5033957757951426,0.0403210194648648,0.0397442845567085,-0.0669835468944885,-0.066025442405096,0.0085568963766782,0.0084345021289284,-0.1298832079462847,-0.1280254131533924,0.0079942451378315,0.0078798988168173,0.007229438,20.0,2.5,-4.0,0.0013586373257579837,1.002717274651516,19.87293620470968,0.5020316180052773,0.039636581079667964,0.00841164537816477,-0.12767847566791574,0.007858544991713517
2.496,-3.995,39.98869424008703,39.70167345335972,0.0,0.0,0.5147268605873508,0.5073644240069698,0.0248017515826384,0.0244469977566943,-0.0978537783268335,-0.0964541190274142,0.0211539540761023,0.0208513768118579,-0.1219366045230031,-0.1201924746040725,0.0160688199062692,0.0158389782629819,0.007229438,39.5,2.5,-4.0,0.0012366767095660935,1.0024733534191321,39.750741266476986,0.5061126286065398,0.024386680876167945,0.020799931230830414,-0.11989592959666456,0.015799899527463704
