V_round,AoS_round,aoa_min_fit,aoa_max_fit,n_points,n_unique_aoa,cl_alpha_slope_per_deg,cl_at_aoa0,r2,fit_success
30,5,-4.0,8.0,13,13,0.08977919782537536,0.27826387105316075,1.0,True
30,6,-4.0,8.0,13,13,0.08889231181407464,0.28748728582376915,1.0,True
30,7,-4.0,8.0,13,13,0.08858365417394615,0.29302488147373995,1.0,True
30,8,-4.0,8.0,13,13,0.08910911666073656,0.2951875467701727,1.0,True
30,9,-4.0,8.0,13,13,0.08940721017979031,0.2981058047522908,1.0,True
30,10,-4.0,8.0,13,13,0.08939985604575611,0.2990914753219016,1.0,True
40,-10,-4.0,8.0,13,13,0.08543799353584047,0.299709098854426,0.9983427064093888,True
40,-9,-4.0,8.0,13,13,0.08541867183858637,0.2972432703074766,0.9983668833461956,True
40,-8,-4.0,8.0,13,13,0.08458203084750622,0.2948364256605391,0.9982793373940472,True
40,-7,-4.0,8.0,13,13,0.08320531191050957,0.28845891182335137,0.9959432068189165,True
40,-6,-4.0,8.0,13,13,0.08348494255681978,0.282448774819826,0.9955159897225593,True
40,-5,-4.0,8.0,13,13,0.08389120765706902,0.2773521717646172,0.9952853930883262,True
40,-4,-4.0,8.0,13,13,0.08364525988308284,0.2781680094806135,0.9949161627396405,True
40,-3,-4.0,8.0,13,13,0.08351845354618749,0.27458283687276197,0.9946034282552707,True
40,-2,-4.0,8.0,13,13,0.08348844628694727,0.2750670220657446,0.9944056781965895,True
40,-1,-4.0,8.0,13,13,0.08325058770679987,0.27428432466657626,0.9941620335850809,True
40,0,-4.0,8.0,13,13,0.08482991201420466,0.2673995228225981,0.9917545517508853,True
40,1,-4.0,8.0,13,13,0.08296528974302202,0.2741956716186762,0.9940103798470177,True
40,2,-4.0,8.0,13,13,0.08322238394424351,0.27441882315738825,0.9939312679290212,True
40,3,-4.0,8.0,13,13,0.08332273504696393,0.273863964424516,0.9939267064649316,True
40,4,-4.0,8.0,13,13,0.08346934277463938,0.27699464852185063,0.9944383341796094,True
40,5,-4.0,8.0,13,13,0.08381811348400288,0.2741182550740482,0.9949167447309546,True
40,6,-4.0,8.0,13,13,0.08385245292204838,0.28383717964018607,0.9966251098084918,True
40,7,-4.0,8.0,13,13,0.08440325268747967,0.2911009379011177,0.9976059656087843,True
40,8,-4.0,8.0,13,13,0.0855945931933517,0.2951072189862893,0.9984062121867331,True
40,9,-4.0,8.0,13,13,0.08601379583425545,0.29814215457310983,0.9984222492460252,True
40,10,-4.0,8.0,13,13,0.08612832914522738,0.2999160371022908,0.99847329063917,True
50,-10,-4.0,8.0,10,10,0.08912551690264957,0.304646973103733,1.0,True
50,-9,-4.0,8.0,10,10,0.08894676894844541,0.303391498778761,1.0,True
