AoA,AoA_corr,AoS,dR,dE,V,AoA_round,AoS_round,V_round,CL_uncorrected,CL,CD_uncorrected,CD,CYaw,CMroll_uncorrected,CMroll,CMpitch_uncorrected,CMpitch,CMyaw_uncorrected,CMyaw
2.5,3.3408308480635673,-10.0,0,-10,19.9944629196324,2.5,-10.0,20.0,0.4510714100001566,0.4291298587273503,0.0973643863346052,0.07109980322906002,-0.12718361653161697,0.0320401432499381,0.025523757255496687,0.0754176076132663,0.11299572790001036,0.0354582104846913,0.027523260633986163
2.492,3.3328308480635673,-10.0,0,-10,19.991412441889405,2.5,-10.0,20.0,0.4529859671656726,0.43101126617728236,0.0978172384503311,0.07154481440949902,-0.1260140260719633,0.0318842402741087,0.02537055367115088,0.0507585857451545,0.0887636661541817,0.0353612329624616,0.027427962234917613
5.0,6.198242078897549,-10.0,0,-10,19.988960080137517,5.0,-10.0,20.0,0.7111305340230035,0.6899631334818703,0.1045671768910607,0.08160243548825927,-0.12336063118653748,0.0318194716111341,0.025470687355708507,-0.006475082454047,0.02989680494015098,0.0354275972371158,0.027542311713315837
5.0,6.198242078897549,-10.0,0,-10,19.985986503308403,5.0,-10.0,20.0,0.7140215581482854,0.6928041007954645,0.1053733172047877,0.08239461783687448,-0.12162756734035766,0.0314762291850179,0.02513338802129364,-0.0286859193239835,0.008070538945601152,0.0350682090961495,0.027189146220005022
6.0,7.341206571231142,-10.0,0,-10,19.9943649639798,6.0,-10.0,20.0,0.7969830545946672,0.7754750540813049,0.1089021637043181,0.08803555981095548,-0.11395649064888005,0.0303075798212439,0.023395362043664956,-0.0086328044124452,0.026721862034875803,0.0317125271903324,0.023695029383128095
7.0,8.484171063564736,-10.0,0,-10,19.99263062785508,7.0,-10.0,20.0,0.8915120225594575,0.866663405426875,0.1132842835164469,0.09528291587407332,-0.11257013152257847,0.029714101783939,0.022222548553862197,-0.0490399134889994,-0.014826345018706071,0.0321959208787639,0.024071784778403816
7.0,8.484171063564736,-10.0,0,-10,19.986698410968938,7.0,-10.0,20.0,0.8933356428568417,0.8684554505405665,0.1141686810836953,0.09615200048627107,-0.11074994424898844,0.0295988264382228,0.02210926915007615,-0.068864000773037,-0.03430718694710004,0.0317065979834062,0.023590934293847947
8.0,9.627135555898327,-10.0,0,-10,19.991697273122423,8.0,-10.0,20.0,0.978707455794903,0.9515296158684291,0.120502653811114,0.10588879173035799,-0.11220756335832482,0.0301121908155916,0.02231893921705667,-0.096702075364441,-0.06379879245354911,0.0329241879783422,0.024590905165406067
8.0,9.627135555898327,-10.0,0,-10,19.9916829577224,8.0,-10.0,20.0,0.9817347827340018,0.9545045259725446,0.1214823695237132,0.10685154409612653,-0.11010002640163448,0.0299136591215505,0.022123845012013237,-0.1177036459017833,-0.08443673003039846,0.0323185813349012,0.023995784334740696
9.0,10.770100048231921,-10.0,0,-10,19.99404769467245,9.0,-10.0,20.0,1.0534563918134972,1.0401826073866376,0.1299339188787009,0.1143271976019892,-0.1086521983682451,0.0294127058822499,0.021631565557806542,-0.1508168837744409,-0.11636064245409401,0.0326812687354493,0.024253923418439075
