AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw
7.0,0.0,19.999315039550527,-10,0,0.8541746535005735,0.08553704346091448,0.009228506717949475,-0.003699999257563412,0.035052338035568495,-0.0031589347276859085
8.0,0.0,19.992640491481755,-10,0,0.9282647476313318,0.09463079077118305,0.010084838861377732,-0.004449629948071731,-0.02350328012814652,-0.0033926961219668023
9.0,0.0,19.993225357429584,-10,0,0.9784560923123414,0.10649226679889012,0.009748361664489624,-0.004245389916574387,-0.07460885612889273,-0.0037538926964375205
10.0,0.0,19.98867694845391,-10,0,1.025605512734209,0.1200412944228273,0.00900990995179791,-0.003640562018359895,-0.12792139787783846,-0.0035619953234454593
11.0,0.0,19.987973530476516,-10,0,1.0796135049146423,0.13358416078522514,0.008971535558924494,-0.0037571668829625682,-0.17867572671470805,-0.0032584899610942305
12.0,0.0,19.984811607108714,-10,0,1.1442175516591286,0.1534826945191193,0.008609085323751809,-0.003216730024150516,-0.22389074144880058,-0.0031958101844103536
13.0,0.0,19.991600997063014,-10,0,1.182036638651831,0.1732166652829902,0.008502083286130573,-0.0035851614534726387,-0.2845337266849536,-0.003240312382145084
14.0,0.0,19.991249177815718,-10,0,1.1638787527301107,0.20777043778814866,0.009562185084981531,-0.000724053749774439,-0.3862086252225937,-0.0007844180120132376
0.005,0.0,19.994994441005538,-10,0,0.12410634855717656,0.0642290847580999,0.010663866501039388,-0.00563665150387538,0.29031596052210057,-0.002825252026327055
0.001,0.0,20.015956285738458,-5,0,0.1803127292398228,0.06149833590387023,0.010008644397955133,-0.005242981284053815,0.11979051687664853,-0.0024761851559086325
-2.5,0.0,20.002147888047773,-5,0,-0.1049849455844121,0.06294252331515678,0.010490223847719535,-0.006045697476788204,0.211136334777152,-0.0021523521817057873
-5.002,0.0,19.994071248446964,-5,0,-0.38178484742050955,0.07113663606615714,0.009999410901932909,-0.006896520746477554,0.3062167424184646,-0.0013059580192278635
-0.006,0.0,19.992549540786282,-5,0,0.1770511993867136,0.060927954404316045,0.009617931285234972,-0.0049117391050827455,0.11814904560683365,-0.0024031864852092524
2.5,0.0,19.99428834060327,-5,0,0.4522433696971212,0.06550278209352936,0.009987692044152912,-0.005105306349071102,0.03994538033564188,-0.002595472515794628
5.0,0.0,19.989603760024032,-5,0,0.715521090987566,0.07499115037806581,0.00857214774607846,-0.0037854503692218546,-0.037494731608670936,-0.002455428256256483
6.0,0.0,19.994774905778772,-5,0,0.8137967015072248,0.08038430209757857,0.008036023137716142,-0.003126621418032662,-0.07247893136620004,-0.002481506507201926
7.0,0.0,19.996394852305134,-5,0,0.902519853360827,0.0873021831751315,0.008971920088592624,-0.0035239028156824636,-0.11931206741784454,-0.002683787813662713
8.0,0.0,19.990774206329647,-5,0,0.9723337973179487,0.09689363253925169,0.00864908656461099,-0.003556636378871188,-0.16645971552838834,-0.002890863695685358
9.0,0.0,19.9910075151985,-5,0,1.0214262107363667,0.10957645696842191,0.008026666452206455,-0.0037589460923790957,-0.21967056968521215,-0.003088520775259663
10.0,0.0,19.988196834081975,-5,0,1.0712168791528227,0.12361361872446858,0.0077829269338838625,-0.00276201653724467,-0.27529566168941705,-0.003076528507812564
11.0,0.0,19.991592508928303,-5,0,1.1246160537282597,0.13758503686104923,0.007452206061062146,-0.0022618873841503285,-0.32649928333555744,-0.00294426814503352
12.0,0.0,19.98843023824316,-5,0,1.1877282823631912,0.15712609453766474,0.007971381381460875,-0.0026899848557415357,-0.3698123638014499,-0.0027217650115385393
13.0,0.0,19.991240689830384,-5,0,1.2242681084967157,0.177602051493422,0.007542854136428068,-0.003175385528173911,-0.4320592167557504,-0.00289493206407636
14.0,0.0,19.99311410659753,-5,0,1.2053466323243442,0.21216349580163746,0.009643119919093935,6.633133517382855e-06,-0.5240260523898042,-3.8978737578932763e-05
0.005,0.0,19.997796887187,-5,0,0.178846116166884,0.06165316519160859,0.00988076733486493,-0.00544469702885955,0.12124540854203303,-0.002446156829737995
0.002,0.0,29.996737741356572,-5,0,0.18528608399812296,0.05778638205825054,0.0035420199899286815,-0.002899069020817291,0.12358778395606185,-0.002568900145467679
-2.5,0.0,30.002663129238478,-5,0,-0.10267849672820209,0.06036182296262453,0.005496770420715699,-0.004010965273033005,0.21656808187700324,-0.002248848731169442
-5.002,0.0,29.98341632399058,-5,0,-0.38951976576752706,0.06869059099789424,0.01007127177735187,-0.0065447544227712744,0.31529846460839045,-0.0015612691611493685
-0.006,0.0,30.002588449943552,-5,0,0.18393505196206422,0.05681543387592664,0.00881982842553194,-0.004685750847978868,0.1224808024510644,-0.002587172731999039
2.5,0.0,29.985571566895143,-5,0,0.4612611993515521,0.060543828791013964,0.008482189685853486,-0.0042055215930108195,0.04220192662158535,-0.002681542935955394
5.0,0.0,29.976772020162915,-5,0,0.7198518868099393,0.06973012309651293,0.0075628938101120905,-0.003370329371938943,-0.0389958216572097,-0.0024340776715990145
