AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,solid_blockage_e,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CD_fit_pred,CDi_fit
9.0,-10.0,19.991447977800103,19.8479583931701,-20,0,0.9814569617877396,0.9674186140914676,0.1314840410582255,0.1296033486216218,-0.111423590913087,-0.109829834720298,0.0302489086925207,0.0298162410217092,0.079210024354898,0.0780770374729274,0.0328919689093021,0.0324214960165094,0.007229438,20.0,9.0,-10.0,0.9358987748906559,True,0.09701400527394838,0.06337131944460404,0.6984392560586946,0.1563231455053577,0.059309140231409326
10.0,-10.0,19.99294458794892,19.8494442613272,-20,0,1.046218393695524,1.03125372570827,0.1416285973726602,0.1396028014681397,-0.1045649118911129,-0.103069259359102,0.0277213040830425,0.0273247902057523,0.0202361300665023,0.0199466809709626,0.0310761920235144,0.0306316912397942,0.007229438,20.0,10.0,-10.0,1.0634842467871877,True,0.09701400527394838,0.06337131944460404,0.6984392560586946,0.16440840520140337,0.067394399927455
11.0,-10.0,19.99459564281653,19.85108346566865,-20,0,1.037614287420339,1.0227726889513715,0.1697902766299621,0.1673616679068288,-0.0936783532532841,-0.0923384174784251,0.0230151329700368,0.0226859341854861,-0.0750253356718627,-0.0739522048172273,0.0291701561297121,0.0287529184819628,0.007229438,20.0,11.0,-10.0,1.046063973264819,True,0.09701400527394838,0.06337131944460404,0.6984392560586946,0.16330445948320496,0.06629045420925658
12.0,-10.0,19.996463621764704,19.852938037107595,-20,0,1.0654674480487043,1.050227449681866,0.1837891119723055,0.1811602697946958,-0.0891419405841012,-0.0878668917485816,0.0200785883152784,0.0197913926307047,-0.0946214289185778,-0.0932680037859489,0.0282438994674895,0.0278399106055622,0.007229438,20.0,12.0,-10.0,1.1029776960652764,True,0.09701400527394838,0.06337131944460404,0.6984392560586946,0.1669111571915744,0.06989715191762602
13.0,-10.0,19.99389330178525,19.85038616572409,-20,0,1.1040948042533707,1.088302296425495,0.1990321529218451,0.1961852806959199,-0.0849606325171199,-0.083745391354025,0.0165331204640747,0.0162966376608387,-0.1350487470268775,-0.1331170665349934,0.0268938523810623,0.0265091740249886,0.007229438,20.0,13.0,-10.0,1.1844018884050058,True,0.09701400527394838,0.06337131944460404,0.6984392560586946,0.17207111569485428,0.07505711042090589
14.0,-10.0,19.994729351427097,19.851216214579203,-20,0,1.1397390388099513,1.1234366908387428,0.2181495572015641,0.2150292376633492,-0.0821300097612051,-0.0809552566357844,0.0116628937530549,0.0114960726248499,-0.184995836717084,-0.1823497340561312,0.025654532079208,0.0252875804396199,0.007229438,20.0,14.0,-10.0,1.2621099983227049,True,0.09701400527394838,0.06337131944460404,0.6984392560586946,0.17699558115188518,0.0799815758779368
-5.002,-10.0,19.9917712616901,19.848279356674343,-15,0,-0.4223592923787513,-0.4163180426551118,0.121794546605466,0.120052448623255,-0.1371562313623177,-0.135194406300659,0.0352984258295182,0.0347935319888109,0.4953101903174129,0.4882254816242097,0.0326138960325922,0.0321474005773033,0.007229438,20.0,-5.0,-10.0,0.17332071264018348,True,0.09007539265758244,0.0660030782627917,0.748432036394495,0.1015150932185353,0.011439700560952861
-2.5,-10.0,19.99405252836675,19.850544249449104,-15,0,-0.1535903003528562,-0.1513934092785896,0.10620676970862,0.1046876327327594,-0.1322741253590062,-0.1303821318887804,0.0340008556942762,0.0335145217511784,0.407968072975474,0.402132669202928,0.0330477195525403,0.0325750188680371,0.007229438,20.0,-2.5,-10.0,0.02291996437299454,True,0.09007539265758244,0.0660030782627917,0.748432036394495,0.0915881808598736,0.001512788202291156
0.002,-10.0,19.99849442408276,19.854954263243805,-15,0,0.1253936961499779,0.1236001174460603,0.1000153855543355,0.0985848075340513,-0.1300390958126969,-0.1281790712653115,0.0336000412666012,0.0331194404045415,0.3168859006967442,0.3123532980180449,0.0340344564268525,0.0335476418730044,0.007229438,20.0,0.0,-10.0,0.015276989032679898,True,0.09007539265758244,0.0660030782627917,0.748432036394495,0.09108372096032621,0.0010083283027437818
-0.005,-10.0,20.003650542022203,19.860073372897396,-15,0,0.124902566827723,0.1231160130311199,0.0995826792509227,0.0981582904796572,-0.1296124752706418,-0.1277585529241036,0.033681807008967,0.0332000366041095,0.3140550411349844,0.3095629298811306,0.0339755723427678,0.0334896000420987,0.007229438,20.0,-0.0,-10.0,0.015157552664678884,True,0.09007539265758244,0.0660030782627917,0.748432036394495,0.09107583779238163,0.0010004451347991872
0.005,-10.0,20.00339332947076,19.859818006501477,-15,0,0.1259860026276631,0.1241839518209431,0.1001314262841868,0.0986991884660958,-0.130204486510046,-0.1283420962836696,0.0334400474804137,0.0329617351021971,0.3189039160598553,0.3143424485379415,0.0341649496965694,0.0336762686218614,0.007229438,20.0,0.0,-10.0,0.015421653889866318,True,0.09007539265758244,0.0660030782627917,0.748432036394495,0.09109326928621697,0.0010178766286345327
2.5,-10.0,19.9987614645662,19.85521938703126,-15,0,0.4005559780090563,0.3948265937262562,0.0998120240074831,0.0983843547852551,-0.129722223054474,-0.1278667309217829,0.0333132636865307,0.0328367647703915,0.2262136341950631,0.2229779694903337,0.0356104621319008,0.03510110505513,0.007229438,20.0,2.5,-10.0,0.1558880391134782,True,0.09007539265758244,0.0660030782627917,0.748432036394495,0.10036448310342247,0.010289090445840036
5.0,-10.0,19.99194546362673,19.84845230826815,-15,0,0.662700529334172,0.6532215396163238,0.1060353826174693,0.1045186970904953,-0.1280442283439037,-0.1262127375419857,0.0336160989756125,0.0331352684308351,0.142197141910485,0.1401632137839583,0.0365974996974356,0.036074024450359,0.007229438,20.0,5.0,-10.0,0.42669837981872044,True,0.09007539265758244,0.0660030782627917,0.748432036394495,0.11823879921536386,0.028163406557781424
6.0,-10.0,19.99340681605485,19.849903171768545,-15,0,0.7546173258954881,0.7438235969689997,0.1102181271438318,0.1086416133979222,-0.1213977444505693,-0.1196613221595337,0.0326421674388748,0.0321752676012781,0.1211808530396008,0.1194475330721087,0.0341651746100056,0.0336764903182303,0.007229438,20.0,6.0,-10.0,0.5532735434079009,True,0.09007539265758244,0.0660030782627917,0.748432036394495,0.1265931496438662,0.03651775698628376
7.0,-10.0,19.993831288430016,19.850324597472717,-15,0,0.8467436616490747,0.8346321963534473,0.1140439762102627,0.1124127391280081,-0.1189928557589402,-0.1172908319845369,0.0319935386068691,0.0315359164833485,0.0887205332943144,0.0874515120914737,0.0342847930189134,0.0337943977557145,0.007229438,20.0,7.0,-10.0,0.6966109031897795,True,0.09007539265758244,0.0660030782627917,0.748432036394495,0.13605385661953145,0.045978463961949025
8.0,-10.0,19.99277821480787,19.84927908233741,-15,0,0.9336422613257742,0.920287834999682,0.1203542711032139,0.118632774216177,-0.1161146360907025,-0.1144537811601937,0.0314827517912455,0.0310324357475588,0.0415955860729764,0.0410006202999902,0.033759851931935,0.0332769652053159,0.007229438,20.0,8.0,-10.0,0.846929699248402,True,0.09007539265758244,0.0660030782627917,0.748432036394495,0.14597535988015736,0.05589996722257491
9.0,-10.0,19.993557475775788,19.850052750122053,-15,0,1.0072995870518195,0.9928915973101332,0.1289605010276064,0.1271159042464971,-0.1121322526628924,-0.1105283600704138,0.0307191098668582,0.0302797166361602,-0.0035205764045659,-0.0034702195600145,0.0332783588109742,0.0328023591594981,0.007229438,20.0,9.0,-10.0,0.9858337240090678,True,0.09007539265758244,0.0660030782627917,0.748432036394495,0.1551434530974523,0.06506806043986989
10.0,-10.0,19.993283386489303,19.84978062812468,-15,0,1.0501782623551656,1.035156954071658,0.1460409158515868,0.1439520079988449,-0.102928933257929,-0.1014566810763874,0.0273064956204276,0.0269159149889671,-0.0901961921675709,-0.0889060637606953,0.0313021652066962,0.0308544321975815,0.007229438,20.0,10.0,-10.0,1.0715499195629128,True,0.09007539265758244,0.0660030782627917,0.748432036394495,0.16080098586098152,0.07072559320339908
