V_round,AoS_round,dE,dR,CD0_fit,k_fit,R2_fit,fit_used
30.0,-5.0,-20,0,0.06682527494047953,0.06797383973510578,0.8184521119090046,
30.0,-5.0,-10,0,0.0554048369515358,0.06975253883492596,0.8559229976787167,
30.0,-5.0,0,0,0.050317689933817245,0.07052321084741718,0.8698556045963497,
30.0,-5.0,10,0,0.04999261909777624,0.07104298593973843,0.8779975772073563,
30.0,-5.0,20,0,0.05572423160344981,0.07081943547456634,0.8902259265886553,
30.0,-4.0,-10,-20,0.06677727443118989,0.057368342347659015,0.8593194802389625,
30.0,-4.0,-10,-10,0.05767747417870163,0.058733346553097227,0.8634826620010457,
30.0,-4.0,-10,0,0.05390250906793016,0.05945354804307887,0.8654936500985899,
30.0,-4.0,-10,10,0.05382132641626859,0.05963405703324587,0.867436293788236,
30.0,-4.0,-10,20,0.06350646500817232,0.04490614411347324,0.8742605402540058,
30.0,-4.0,0,-20,0.06355508582438005,0.04751536036957356,0.9035333826695839,
30.0,-4.0,0,-10,0.052907708334365214,0.06083943565532089,0.8842125792958273,
30.0,-4.0,0,0,0.04924341673718643,0.061573513146979626,0.8884939427395777,
30.0,-4.0,0,10,0.048633536102820556,0.06172761704446535,0.8920720759532097,
30.0,-4.0,0,20,0.05476724634760719,0.060818503407813564,0.8873759331616597,
30.0,-4.0,10,-20,0.059449604249773524,0.06093172417905409,0.8974125329812812,
30.0,-4.0,10,-10,0.052081732091152945,0.0620558732695481,0.9013389099561817,
30.0,-4.0,10,0,0.04930126531778127,0.06276823610535315,0.903833099976189,
30.0,-4.0,10,10,0.049099848080651785,0.06250695530033219,0.9047198818904841,
30.0,-4.0,10,20,0.05364996583503357,0.06189659721829349,0.905790139898748,
30.0,0.0,-20,0,0.059959761086560634,0.07070848658624634,0.8450734522739914,
30.0,0.0,-10,-20,0.05850909008700737,0.05981502026110109,0.8615816098340532,
30.0,0.0,-10,-10,0.05104453822348701,0.0601366592294511,0.8606191378401618,
30.0,0.0,-10,0,0.048770702179564994,0.06901803335096054,0.8585326718741202,
30.0,0.0,-10,10,0.05106372008487436,0.06020750598663381,0.8615171560120157,
30.0,0.0,-10,20,0.05847134288777534,0.059626561450852024,0.8619812900933808,
30.0,0.0,-5,0,0.046077356268287184,0.07156791928112166,0.8775765158839461,
30.0,0.0,0,-20,0.05077708914507697,0.06173838277265923,0.8804635798769722,
30.0,0.0,0,-10,0.04650207414710798,0.06198284648294194,0.8809775213666983,
30.0,0.0,0,0,0.04347650096877547,0.06957319248179264,0.8824180308094853,
30.0,0.0,0,10,0.045892522012963836,0.06208828130093208,0.8808445922041684,
30.0,0.0,0,20,0.05338959695952919,0.06159260114127602,0.8854950755088821,
30.0,0.0,10,-20,0.05152442561352803,0.06252900658920624,0.9005708968809092,
30.0,0.0,10,-10,0.04534435625578451,0.06348401067801272,0.9020978569364947,
30.0,0.0,10,0,0.04313153752900851,0.07045333518847409,0.898438328236369,
30.0,0.0,10,10,0.04597326798706404,0.06323295168895811,0.9018291476815853,
30.0,0.0,10,20,0.05177945326256029,0.06250055249093443,0.9001409944964085,
30.0,0.0,20,0,0.049510266440131595,0.0718192809696246,0.9102559243865478,
30.0,4.0,-10,-20,0.06038389106929275,0.05673136495234012,0.8663247044919471,
30.0,4.0,-10,-10,0.0540028061257409,0.05775029015587727,0.8702729645236613,
30.0,4.0,-10,0,0.05421577290861142,0.05814775993995504,0.8697861317092925,
30.0,4.0,-10,10,0.058364583264764264,0.05685587650886367,0.8640961969723866,
30.0,4.0,-10,20,0.0673878649426962,0.055259029099226614,0.8644257026575735,
30.0,4.0,0,-20,0.05233591256248535,0.05972427068910239,0.8906943852747651,
30.0,4.0,0,-10,0.050007239674616476,0.059748437797810465,0.8896359725262608,
30.0,4.0,0,0,0.049555003082038175,0.060159481860857414,0.8909045316204499,
30.0,4.0,0,10,0.05338300000250849,0.05896543068793759,0.8849872381381324,
30.0,4.0,0,20,0.062290368163616945,0.05729642652941597,0.8853946761800937,
30.0,4.0,10,-20,0.05280893721495447,0.06067121307708124,0.9051071901960966,
30.0,4.0,10,-10,0.04942101527982201,0.061081767255851085,0.9028743637369442,
30.0,4.0,10,0,0.05000258136763552,0.06122654246178799,0.9025260944753916,
30.0,4.0,10,10,0.053988964639788396,0.060068316074308375,0.8997049163171573,
30.0,4.0,10,20,0.06070621461113362,0.05926787753952033,0.8989377007071516,
30.0,5.0,-20,0,0.06622965939132677,0.06497960036819665,0.8291656690470801,
30.0,5.0,-10,0,0.055787203390369154,0.06634989596959766,0.8560976290768014,
30.0,5.0,0,0,0.05119914967708216,0.06755491673809981,0.8833654972950801,
30.0,5.0,10,0,0.05089388989030865,0.06882022383944933,0.8962791418365449,
30.0,5.0,20,0,0.05697018272526551,0.06795516028865535,0.9044780271105436,
30.0,7.0,0,10,0.0594400232984154,0.05490245507055202,0.8756936647831881,
30.0,8.0,-10,-20,0.06399133228551392,0.05247967848950394,0.8521827644737385,
30.0,8.0,-10,-10,0.059441834352021286,0.053351554322630036,0.8593810332576026,
30.0,8.0,-10,0,0.06176605676566106,0.05300613627662886,0.8537475720962612,
30.0,8.0,-10,10,0.06787768223283229,0.05209714019916959,0.8497265157280273,
30.0,8.0,-10,20,0.07862838740062197,0.050432827669313465,0.8561344668876588,
30.0,8.0,0,-20,0.05604492445959005,0.05539984260544217,0.875163156315163,
30.0,8.0,0,-10,0.05536125225497634,0.05546051937686929,0.876395090494515,
30.0,8.0,0,0,0.05738283173828375,0.05481317602652737,0.8783557744764602,
30.0,8.0,0,10,0.0628267281475189,0.053936734862130166,0.8723060857548962,
30.0,8.0,0,20,0.07316875618813333,0.05286679798390088,0.8752824196601671,
30.0,8.0,10,-20,0.0563038673475661,0.05651680497048328,0.8949050152091278,
30.0,8.0,10,-10,0.05482498622969717,0.056874480857936234,0.8942943202861833,
30.0,8.0,10,0,0.057658548420245315,0.05633416540936186,0.891689238538844,
30.0,8.0,10,10,0.06333250443918806,0.055509502632988435,0.8922883767849611,
30.0,8.0,10,20,0.07136922575122283,0.05462397376469951,0.8962236379914084,
30.0,10.0,-20,0,0.09425850169939147,0.054874459837730497,0.778604009422726,
30.0,10.0,-10,-20,0.06924858906729658,0.05113939898714306,0.8522745908817264,
30.0,10.0,-10,-10,0.06570551878475724,0.05216832862621891,0.8532062937685261,
