AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CDi,CDs
7.0,-10.0,19.993831288430016,-15,0,0.8467436616490747,0.1140439762102627,-0.1189928557589402,0.0319935386068691,0.0887205332943144,0.0342847930189134,20.0,7.0,-10.0,0.7169748285428826,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.04664566392506373,0.0
8.0,-10.0,19.99277821480787,-15,0,0.9336422613257742,0.1203542711032139,-0.1161146360907025,0.0314827517912455,0.0415955860729764,0.033759851931935,20.0,8.0,-10.0,0.8716878721335053,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.05671113951619222,0.0
9.0,-10.0,19.993557475775788,-15,0,1.0072995870518195,0.1289605010276064,-0.1121322526628924,0.0307191098668582,-0.0035205764045659,0.0332783588109742,20.0,9.0,-10.0,1.0146524580747662,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.06601227222479064,0.0
10.0,-10.0,19.993283386489303,-15,0,1.0501782623551656,0.1460409158515868,-0.102928933257929,0.0273064956204276,-0.0901961921675709,0.0313021652066962,20.0,10.0,-10.0,1.1028743827233152,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.07175190224268377,0.0
11.0,-10.0,19.99606472825982,-15,0,1.0582864952249946,0.1695540953839454,-0.0942956399210054,0.0233992635062241,-0.1656297252342833,0.0297423470439682,20.0,11.0,-10.0,1.1199703059756025,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.07286414587909644,0.00530746014415738
12.0,-10.0,19.995032660738374,-15,0,1.1096537471659285,0.1820101150571915,-0.0895471429825546,0.0202196728961284,-0.2021538757063138,0.0285083002119058,20.0,12.0,-10.0,1.2313314385993863,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.08010918958201184,0.010518436114488092
13.0,-10.0,19.99433030435617,-15,0,1.1444863859160688,0.2004129445501307,-0.0845947755422537,0.0161909537064094,-0.2588535479377711,0.0269205891873093,20.0,13.0,-10.0,1.3098490875472246,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.08521746914665201,0.023812986042787115
14.0,-10.0,19.996781194725607,-15,0,1.1806188460702598,0.2192108150546887,-0.0813318190225241,0.0115673022219944,-0.3018823994870993,0.0257796548227566,20.0,14.0,-10.0,1.3938608596962718,True,0.09138248936069157,0.06505899798443737,0.7484320363944946,0.09068319086156588,0.037145134832431245
0.002,-10.0,19.995018438619876,-10,-20,0.1670985203175844,0.1176808292863617,-0.1902586010312662,0.0451672976551738,0.1857033993448248,0.061049672859558,20.0,0.0,-10.0,0.027921915492326168,True,0.10826379390662423,0.054836131971444754,0.7970929972823606,0.0015311298428327255,0.007885905536904741
0.005,-10.0,20.00891849149148,-10,-20,0.1665465654517229,0.1177352286214507,-0.1902715007983886,0.0451834116380795,0.1860197042148652,0.0611637440603441,20.0,0.0,-10.0,0.027737758463765017,True,0.10826379390662423,0.054836131971444754,0.7970929972823606,0.0015210313837110772,0.007950403331115385
