run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,b,c,S
11,7,56,5,2.503,0,415.59,101195,289.48,1815.7,-95.1,626.5,672.7,1183.4,9.4,0,1.2178195442593,973.973198750294,39.9942015807876,447481.087608989,70.31,70.29,-1.35,-1.37,0,22.323,22.209,27.955,28.552,101195,1.47452685375665e-05,2.79934373735126,2.80014025000949,16.8077192646861,-1.35279642394444,108.7849042792,-0.734496933946276,-2.62196022584635,-0.0471242249300724,0.0794625614479741,-0.00639567256398317,0.514306968409456,-0.00248642255323748,-0.0751362531413242,-0.000159525152869513,0.517286551737695,0.0569260908347271,0.00639567256398317,0.514306968409456,0.0794625614479741,0.00639567256398317,-0.00427800307734635,-0.0975330119549075,-0.0975330119549075,-0.000346200611360992,1.39658967036375,0.164979635584137,0.217169693741564
12,7,56,55,2.503,0,415.58,101193,289.55,605.7,-131.5,849.6,867.5,204.7,37.4,0,1.21750106801901,973.949582932195,39.9989471845423,447333.203553382,98.42,98.43,7.13,6.35,0,21.723,21.592,30.299,30.153,101193,1.475189339364e-05,2.00005296202351,1.99984976655851,5.67564709440469,-1.59319737119875,110.356661580984,-1.41248580808796,-3.58831516076178,-0.226933555433952,0.0268336461681775,-0.00753240887315985,0.52175048235201,-0.00478166969126295,-0.102831115070221,-0.000768235190566595,0.522424570033988,0.0040223160041163,0.00753240887315985,0.52175048235201,0.0268336461681775,0.00753240887315985,-0.0068645638309429,-0.110394257893287,-0.110394257893287,-0.00106728939931479,1.39658967036375,0.164979635584137,0.217169693741564
13,7,57,22,7.993,0,415.45,101195,289.55,1379.4,-43.6,1809.9,1704.9,318.7,49.4,0,1.21752513096938,973.642578139096,39.992247321721,447267.11451153,98.43,98.43,6.55,6.51,0,21.541,21.489,30.335,30.288,101195,1.475160183984e-05,1.99951478976431,1.99951478976431,12.9194524550492,0.0613743716384552,223.341068146415,-1.70487892871011,-11.3675945591467,-0.247786801815413,0.0611005798085286,0.000290260729356851,1.05625751604271,-0.00577332413574466,-0.32586630708217,-0.000839093908282532,1.05449220736113,-0.0863678508722669,-0.000290260729356851,1.05625751604271,0.0611005798085286,-0.000290260729356851,-0.00551954282005996,-0.343087686866632,-0.343087686866632,-0.00159844627280431,1.39658967036375,0.164979635584137,0.217169693741564
14,7,59,10,2.496,8,415.27,101192,289.71,278.5,-5097.7,-397.9,2325,-116.1,2734.7,0,1.21681664606422,973.217497161526,39.9951546937204,446847.751040928,98.43,98.43,6.61,6.4,0,21.365,21.536,30.487,30.144,101192,1.4766519538546e-05,1.99966015127064,1.99966015127064,2.67955245368697,-47.7321284625127,115.390881243586,-6.29783194215066,-4.65045163270886,-17.8531558349195,0.0126780697202253,-0.225840420369386,0.54596193310994,-0.0213360054932611,-0.133369236383334,-0.0604835178939069,0.545996084942157,-0.0111104043495337,0.225840420369386,0.54596193310994,0.0439855992421506,0.221878110645824,-0.0822751300248627,-0.136942587966414,-0.136942587966414,-0.064009187362152,1.39658967036375,0.164979635584137,0.217169693741564
15,7,59,55,2.496,-3.995,415.08,101192,289.75,605,2336.1,1540.5,210.3,155.2,-1304,0,1.21664866447374,972.768803827175,39.988694240087,446666.043676063,98.44,98.42,6.41,7.57,0,21.335,21.615,30.295,30.305,101192,1.47701404586726e-05,1.9991340422444,1.99954028773154,5.58841480197161,21.1128312923287,111.211778139212,0.687438426002756,-4.17427049379646,8.45975960588876,0.0264532953498404,0.0999396039195734,0.526431576349625,0.00233000109653749,-0.119768164707084,0.0286734759253702,0.527084163451929,0.00350229224895333,-0.0999396039195734,0.526431576349625,0.0333517515826384,-0.0978537783268335,0.0292206207427689,-0.127224104523003,-0.127224104523003,0.0299188199062693,1.39658967036375,0.164979635584137,0.217169693741564
16,8,0,20,2.496,3.995,413.97,101192,289.75,588.1,-2455.4,229.2,1481.6,182.4,1376.5,0,1.21664866447374,970.147556910835,39.9347806333001,446063.839030439,98.42,98.42,6.3,6.11,0,21.348,21.644,30.356,30.057,101192,1.47701404586726e-05,1.99684446505276,1.99684446505276,5.56771617009624,-22.2773263899928,109.452442334548,-3.26061178416057,-3.77336385853742,-8.98577192047762,0.026426525969951,-0.105736773643051,0.519503459131697,-0.0110813648734612,-0.108557874679623,-0.0305386301442659,0.520161453388888,0.00377726528055863,0.105736773643051,0.519503459131697,0.033728932698674,0.103638726711064,-0.0395148543013863,-0.116006269466361,-0.116006269466361,-0.0322305147579421,1.39658967036375,0.164979635584137,0.217169693741564
17,8,1,29,2.496,3.995,415.08,101195,289.81,613,-2467.7,227.7,1479.7,195.7,1366.3,0,1.21643284107582,972.768803827175,39.9922415436452,446554.680651219,98.44,98.42,6.75,6.16,0,21.385,21.763,30.413,30.14,101195,1.47751344279754e-05,1.9993113807506,1.99971766227483,5.79696578400303,-22.5990520396389,109.571193765506,-3.60517921051654,-3.84220183280187,-8.92029661136021,0.0274404913470363,-0.106974771811869,0.518665713484781,-0.01221938023244,-0.110240451027971,-0.0302344182398463,0.519368660368816,0.00482675219433136,0.106974771811869,0.518665713484781,0.0348266848895029,0.104803074330744,-0.0410136407167465,-0.117974634966003,-0.117974634966003,-0.0319918630798286,1.39658967036375,0.164979635584137,0.217169693741564
18,8,2,4,2.496,10,415.46,101192,289.85,104.2,-6118.5,-694.4,2709.2,-275.5,3205.9,0,1.21622891333885,973.666193836882,40.014038132906,446675.328553139,98.43,98.43,7.09,6.43,0,21.409,21.823,30.55,30.14,101192,1.47791942098079e-05,2.00060427715658,2.00060427715658,0.988285012036378,-58.2981761463472,116.960685441216,-6.39941292042681,-4.96230833640678,-20.9603197413422,0.00467382985960788,-0.275705644743146,0.55313430574948,-0.0216701540181817,-0.142247320944193,-0.0709773478775495,0.552813071127423,-0.0194194045527236,0.275705644743146,0.55313430574948,0.0524786066641352,0.270705454454434,-0.0961932863543486,-0.143564653763496,-0.143564653763496,-0.0750991921803045,1.39658967036375,0.164979635584137,0.217169693741564
19,8,2,25,2.496,8.005,415.39,101195,289.86,284.1,-5122,-413.4,2337.9,-114.5,2732.8,0,1.21622300997786,973.500884146731,40.0107382864478,446624.370095052,98.43,98.43,6.52,6.78,0,21.407,21.859,30.494,30.118,101195,1.47796615320064e-05,2.0004392928849,2.0004392928849,2.73124734593381,-48.1429121019427,115.272258351909,-6.27064318095352,-4.68387403762698,-17.8419654281687,0.012918897815415,-0.227717699353539,0.545241912570643,-0.0212377103827304,-0.134288646943677,-0.0604280108893895,0.545287235488987,-0.0108384481008774,0.227717699353539,0.545241912570643,0.0445048720051819,0.223699720356187,-0.0827079601426995,-0.137929876640239,-0.137929876640239,-0.0639725826151531,1.39658967036375,0.164979635584137,0.217169693741564
20,8,3,34,2.496,-10,414.92,101193,289.89,683.6,4276,2362.5,-391.9,-76.4,-2171.3,0,1.21607311133501,972.390959400136,39.9903873819846,446306.346930979,98.42,98.43,6.88,6.75,0,21.406,21.947,30.325,30.385,101193,1.47826702051553e-05,1.99962494929655,1.99942179731552,5.8498046751061,41.2898593323444,118.928456111326,-1.00973929027564,-7.41658961368441,14.027813347794,0.027701369096437,0.195525440049755,0.563177959228101,-0.00342373623103755,-0.212879468540579,0.0475642903704022,0.563850036890168,0.00314889013815462,-0.195525440049755,0.563177959228101,0.0612331594073885,-0.187744677009647,0.0495652456231322,-0.220687181646646,-0.220687181646646,0.0496777130626463,1.39658967036375,0.164979635584137,0.217169693741564
