AoA [deg],AoS [deg],AoA_round,AoS_round,CD,CYaw,CL,CMroll,CMpitch,CMyaw
10.5,-8.0,10.5,-8,0.017050000000000003,-0.0632775,-0.004548041044776118,0.018450595238095238,-0.0046,0.0219875
11.0,-8.0,11.0,-8,0.016600000000000004,-0.06325,0.004650000000000001,0.018500000000000003,-0.0033500000000000005,0.0219
11.5,-8.0,11.5,-8,0.016742857142857143,-0.0633,0.010637193937338103,0.018708333333333334,-0.003512328767123289,0.021804999999999998
12.0,-8.0,12.0,-8,0.017100000000000004,-0.06334999999999999,0.01635,0.019000000000000003,-0.00395,0.0217
12.5,-8.0,12.5,-8,0.01870714285714286,-0.06325,0.023353271349862256,0.019250000000000003,-0.007437671232876713,0.021519999999999997
13.0,-8.0,13.0,-8,0.0201,-0.06315,0.028849999999999997,0.0195,-0.010650000000000001,0.0214
13.5,-8.0,13.5,-8,0.019975,-0.06323124999999999,0.03160757575757575,0.01975,-0.00881875,0.021412499999999998
14.0,-8.0,14.0,-8,0.0191,-0.06344999999999999,0.032850000000000004,0.02,-0.00345,0.0215
-5.0,-7.0,-5.0,-7,0.0118,-0.04745,0.02405,0.0138,-0.00014999999999999996,0.0202
-4.5,-7.0,-4.5,-7,0.01221,-0.046175,0.022081859756097565,0.01383,-0.0012667229729729727,0.0203
-4.0,-7.0,-4.0,-7,0.012499999999999999,-0.04575,0.020850000000000004,0.0139,-0.0022500000000000003,0.020399999999999998
-3.5,-7.0,-3.5,-7,0.012659642857142857,-0.04636025641025641,0.020348140243902437,0.014077142857142858,-0.003049999999999999,0.020495
-3.0,-7.0,-3.0,-7,0.0128,-0.04745,0.019950000000000006,0.0143,-0.0038499999999999993,0.0206
-2.5,-7.0,-2.5,-7,0.013,-0.048566770616770616,0.019383194444444442,0.014474107142857143,-0.004917027027027026,0.02076125
-2.0,-7.0,-2.0,-7,0.013199999999999998,-0.04965,0.018850000000000002,0.0146,-0.005949999999999999,0.0209
-1.5,-7.0,-1.5,-7,0.013362857142857143,-0.05048234797297297,0.018480555555555552,0.014652083333333333,-0.006754999999999999,0.020968749999999998
-1.0,-7.0,-1.0,-7,0.0135,-0.05115,0.018149999999999996,0.0147,-0.007350000000000001,0.021
-0.5,-7.0,-0.5,-7,0.013605,-0.051740625,0.017838500000000004,0.014816666666666667,-0.007679999999999999,0.021
0.0,-7.0,0.0,-7,0.013699999999999999,-0.05205,0.017450000000000004,0.0149,-0.00795,0.021
0.5,-7.0,0.5,-7,0.013808333333333334,-0.0519,0.016620875000000004,0.0148,-0.0082875,0.0209625
1.0,-7.0,1.0,-7,0.013900000000000001,-0.05175,0.01565,0.0147,-0.00855,0.0209
1.5,-7.0,1.5,-7,0.013966666666666667,-0.05191964285714286,0.01496701388888889,0.014783333333333332,-0.008687499999999999,0.0208375
2.0,-7.0,2.0,-7,0.014,-0.05225,0.014250000000000002,0.0149,-0.008749999999999999,0.0208
2.5,-7.0,2.5,-7,0.013949999999999999,-0.05278035714285714,0.013204715762273906,0.014966666666666666,-0.0084875,0.02085
3.0,-7.0,3.0,-7,0.013900000000000001,-0.053149999999999996,0.012050000000000002,0.015,-0.00805,0.0209
3.5,-7.0,3.5,-7,0.013900000000000001,-0.0526,0.011026707848837209,0.01485,-0.007719444444444444,0.0208
4.0,-7.0,4.0,-7,0.013900000000000001,-0.05205,0.00995,0.0147,-0.007350000000000001,0.0207
4.5,-7.0,4.5,-7,0.0138375,-0.05237142857142857,0.008535175304878049,0.014728571428571428,-0.006816805555555555,0.020733333333333333
5.0,-7.0,5.0,-7,0.013699999999999999,-0.05305,0.007250000000000003,0.0148,-0.00625,0.0208
5.5,-7.0,5.5,-7,0.0134625,-0.05443227513227513,0.006319512195121953,0.015046428571428572,-0.005823365384615383,0.0209
6.0,-7.0,6.0,-7,0.013100000000000002,-0.05555,0.005850000000000001,0.0154,-0.005349999999999999,0.021
6.5,-7.0,6.5,-7,0.012571428571428572,-0.05565343915343915,0.006492857142857144,0.015725,-0.004582614345114346,0.02105
7.0,-7.0,7.0,-7,0.011899999999999999,-0.05575,0.007350000000000002,0.016,-0.0036500000000000005,0.0211
7.5,-7.0,7.5,-7,0.010928571428571428,-0.056249378881987576,0.007757142857142858,0.0162,-0.00242027027027027,0.0212
8.0,-7.0,8.0,-7,0.010299999999999998,-0.05695,0.007950000000000002,0.0163,-0.0016500000000000004,0.0213
8.5,-7.0,8.5,-7,0.011509183673469385,-0.05764347826086957,0.00031280120481927756,0.0163,-0.0018970588235294114,0.021366666666666666
9.0,-7.0,9.0,-7,0.013300000000000001,-0.05805,-0.007749999999999998,0.0163,-0.002449999999999999,0.0214
9.5,-7.0,9.5,-7,0.014540816326530615,-0.0576225,-0.008412801204819275,0.01657857142857143,-0.003902941176470588,0.0211375
10.0,-7.0,10.0,-7,0.0152,-0.05715,-0.00865,0.0169,-0.005050000000000001,0.0208
10.5,-7.0,10.5,-7,0.014750000000000001,-0.0570775,-0.0027480410447761183,0.016950595238095237,-0.0037999999999999996,0.0206875
11.0,-7.0,11.0,-7,0.014300000000000002,-0.05705,0.006450000000000001,0.017,-0.00255,0.0206
11.5,-7.0,11.5,-7,0.014442857142857144,-0.0571,0.012437193937338102,0.017208333333333332,-0.0027123287671232867,0.020505
12.0,-7.0,12.0,-7,0.014800000000000002,-0.05715,0.018149999999999996,0.0175,-0.00315,0.020399999999999998
12.5,-7.0,12.5,-7,0.016407142857142856,-0.05705,0.02515327134986225,0.017750000000000002,-0.0066376712328767105,0.02022
13.0,-7.0,13.0,-7,0.017799999999999996,-0.05695,0.03065,0.018,-0.00985,0.0201
13.5,-7.0,13.5,-7,0.017674999999999996,-0.05703125,0.03340757575757576,0.01825,-0.00801875,0.0201125
14.0,-7.0,14.0,-7,0.016800000000000002,-0.057249999999999995,0.03465,0.0185,-0.0026499999999999996,0.0202
-5.0,-6.0,-5.0,-6,0.009700000000000002,-0.04075,0.02265,0.0118,0.0006499999999999995,0.0185
-4.5,-6.0,-4.5,-6,0.010110000000000003,-0.039475,0.02068185975609756,0.01183,-0.00046672297297297317,0.0186
-4.0,-6.0,-4.0,-6,0.010400000000000001,-0.03905,0.01945,0.011899999999999999,-0.0014500000000000008,0.018699999999999998
-3.5,-6.0,-3.5,-6,0.01055964285714286,-0.03966025641025641,0.01894814024390244,0.012077142857142857,-0.0022500000000000003,0.018795
-3.0,-6.0,-3.0,-6,0.010700000000000003,-0.04075,0.01855,0.0123,-0.0030500000000000006,0.0189
-2.5,-6.0,-2.5,-6,0.010900000000000002,-0.04186677061677062,0.017983194444444444,0.012474107142857143,-0.004117027027027027,0.01906125
-2.0,-6.0,-2.0,-6,0.0111,-0.04295,0.017450000000000004,0.0126,-0.00515,0.0192
-1.5,-6.0,-1.5,-6,0.011262857142857146,-0.04378234797297297,0.017080555555555554,0.012652083333333333,-0.005955,0.019268749999999998
-1.0,-6.0,-1.0,-6,0.011400000000000002,-0.04445,0.016749999999999998,0.0127,-0.00655,0.0193
