Run_nr,Alpha,Beta,CL,CD,Cyaw,Cm_p_qc,Ct,Cn,Cside,Cm_roll,Cm_pitch,Cm_yaw,Cx,Cy,Cz,Cm_x,Cm_y,Cm_z,Fx,Fy,Fz,Mx,My,Mz,DPb,Pbar,T,Rho,Q,V,Re,M,source_file,file_type,rudder_setting
8,2.496,4.0,0.4779,0.023902,0.07587,0.01765,-0.00228,0.4782,0.07735,0.00217,-0.1019,-0.01991,0.018551,-0.07735,0.477855,-0.01129,-0.10492,-0.02003,5.94,-17.3,109.2,-3.53,-3.38,-6.27,413.08,1011.04,17.68,1.211,968.0,39.98,344400.0,0.117,unc_rudder_m5_elevator_0.txt,unc,-5
1,-4.996,0.0,-0.3451,-0.036352,-0.02683,0.05716,-0.06627,-0.3407,-0.026834,-0.01207,0.14233,0.01543,-0.036352,0.026834,-0.34514,-0.00901,0.14824,0.01444,-5.86,6.02,-75.95,-2.83,6.25,4.53,414.34,1011.7,17.3,1.213,971.0,40.01,345600.0,0.117,unc_rudder_m10_elevator_0.txt,unc,-10
2,2.496,0.0,0.4879,-0.038953,-0.03082,-0.02227,-0.060164,0.4857,-0.030821,-0.01303,-0.1437,0.01393,-0.038953,0.030821,0.487852,-0.0074,-0.13736,0.01451,-6.94,6.91,111.65,-2.32,-4.59,4.55,413.86,1011.66,17.39,1.213,969.9,39.99,345300.0,0.117,unc_rudder_m10_elevator_0.txt,unc,-10
3,5.0,0.0,0.7384,-0.026962,-0.03509,-0.05479,-0.091215,0.7332,-0.035091,-0.0153,-0.2381,0.01392,-0.026962,0.035091,0.738396,-0.00831,-0.23372,0.01531,-4.36,7.86,168.1,-2.61,-8.23,4.8,413.63,1011.64,17.39,1.213,969.3,39.98,345200.0,0.117,unc_rudder_m10_elevator_0.txt,unc,-10
4,7.0,0.0,0.923,-0.011814,-0.03995,-0.09595,-0.124214,0.9147,-0.039951,-0.01605,-0.32463,0.01375,-0.011814,0.039951,0.923034,-0.00772,-0.32271,0.01582,-1.04,8.96,209.7,-2.42,-11.61,4.97,414.06,1011.63,17.38,1.213,970.4,40.0,345400.0,0.117,unc_rudder_m10_elevator_0.txt,unc,-10
5,7.0,0.0,0.8979,0.076737,-0.03584,-0.01769,-0.033259,0.9005,-0.035839,-0.01239,-0.24283,0.01349,0.076737,0.035839,0.897887,-0.0048,-0.25531,0.01511,18.81,8.03,204.01,-1.5,-9.11,4.74,413.96,1011.66,17.38,1.213,970.1,39.99,345400.0,0.117,unc_rudder_m10_elevator_0.txt,unc,-10
6,2.5,0.0,0.4752,0.052677,-0.03743,0.03489,0.031897,0.4771,-0.037425,-0.01141,-0.08438,0.01563,0.052677,0.037425,0.475213,-0.00463,-0.09295,0.01615,13.59,8.38,108.78,-1.45,-2.95,5.06,413.69,1011.65,17.41,1.213,969.5,39.98,345200.0,0.117,unc_rudder_m10_elevator_0.txt,unc,-10
7,5.0,0.0,0.7195,0.06352,-0.03651,0.01432,0.000572,0.7223,-0.036513,-0.01237,-0.16627,0.01458,0.06352,0.036513,0.719527,-0.00511,-0.1766,0.01572,15.92,8.19,164.13,-1.6,-6.13,4.93,414.28,1011.64,17.46,1.213,970.9,40.01,345400.0,0.117,unc_rudder_m10_elevator_0.txt,unc,-10
8,-4.995,0.0,-0.3345,0.052026,-0.0399,0.08322,0.022701,-0.3378,-0.039901,-0.01154,0.16766,0.02011,0.052026,0.039901,-0.334495,-0.00677,0.15919,0.01918,13.94,8.94,-73.45,-2.12,6.65,6.01,413.7,1011.61,17.53,1.212,969.5,39.99,345000.0,0.117,unc_rudder_m10_elevator_0.txt,unc,-10
9,2.496,0.0,0.4737,0.069389,-0.03506,0.04764,0.048691,0.4763,-0.035063,-0.00987,-0.07143,0.01595,0.069389,0.035063,0.473702,-0.00346,-0.08272,0.01639,17.32,7.85,108.39,-1.08,-2.57,5.14,413.54,1011.59,17.62,1.212,969.1,39.99,344800.0,0.117,unc_rudder_m10_elevator_0.txt,unc,-10
10,2.496,0.0,0.4798,0.020104,-0.03269,0.01592,-0.000811,0.4802,-0.03269,-0.01155,-0.10413,0.01478,0.020104,0.03269,0.479783,-0.00557,-0.10741,0.0153,6.29,7.32,109.75,-1.75,-3.48,4.8,413.52,1011.6,17.61,1.212,969.1,39.99,344800.0,0.117,unc_rudder_m10_elevator_0.txt,unc,-10
11,2.496,3.995,0.4784,0.024505,0.05874,0.01746,-0.000501,0.4788,0.060302,-0.00189,-0.10224,-0.01298,0.020353,-0.060302,0.478368,-0.01227,-0.10555,-0.01291,6.35,-13.5,109.44,-3.85,-3.41,-4.05,413.52,1011.62,17.62,1.212,969.1,39.99,344800.0,0.117,unc_rudder_m10_elevator_0.txt,unc,-10
12,2.496,8.0,0.5021,0.031496,0.16668,0.0022,-0.013887,0.502,0.169445,0.00883,-0.12331,-0.03961,0.007991,-0.169445,0.50214,-0.02048,-0.12461,-0.04004,3.58,-37.95,114.81,-6.42,-4.12,-12.55,413.7,1011.58,17.67,1.212,969.5,40.0,344800.0,0.117,unc_rudder_m10_elevator_0.txt,unc,-10
13,2.496,10.0,0.5082,0.03814,0.21359,-0.00555,-0.021666,0.5078,0.21697,0.01665,-0.13249,-0.04949,0.00047,-0.21697,0.508231,-0.02083,-0.13257,-0.05026,1.9,-48.55,116.07,-6.53,-4.41,-15.75,413.36,1011.59,17.68,1.212,968.7,39.99,344600.0,0.117,unc_rudder_m10_elevator_0.txt,unc,-10
14,2.496,0.0,0.4807,0.038999,-0.04498,0.01776,0.018025,0.4819,-0.044979,-0.00973,-0.10272,0.0147,0.038999,0.044979,0.480694,-0.00176,-0.10907,0.01514,2.63,2.52,27.52,-0.14,-0.89,1.19,103.96,1011.6,17.42,1.213,242.5,20.0,172600.0,0.059,unc_rudder_m10_elevator_0.txt,unc,-10
15,2.496,8.0,0.508,0.045212,0.15652,0.00843,0.000844,0.5085,0.161285,0.01309,-0.11869,-0.04016,0.02299,-0.161285,0.507968,-0.01492,-0.12244,-0.04077,1.73,-9.03,29.03,-1.17,-1.01,-3.2,103.89,1011.63,17.27,1.213,242.4,19.99,172700.0,0.059,unc_rudder_m10_elevator_0.txt,unc,-10
16,2.496,4.0,0.4812,0.039798,0.05077,0.0301,0.015167,0.4823,0.053425,0.00093,-0.09048,-0.01348,0.036159,-0.053425,0.481183,-0.00835,-0.09636,-0.01353,2.48,-3.0,27.63,-0.66,-0.77,-1.06,104.27,1011.61,17.23,1.214,243.2,20.02,173000.0,0.059,unc_rudder_m10_elevator_0.txt,unc,-10
17,2.496,9.995,0.5138,0.064473,0.0995,-0.04962,0.023801,0.5154,0.109184,0.02705,-0.17846,-0.02103,0.046224,-0.109184,0.513839,0.00834,-0.18598,-0.02223,3.04,-6.12,29.38,0.65,-1.6,-1.74,103.97,1011.63,17.16,1.214,242.6,19.99,172900.0,0.059,unc_rudder_m10_elevator_0.txt,unc,-10
1,2.496,4.0,0.4697,0.027993,0.02811,0.04887,0.005481,0.4704,0.029991,-0.00935,-0.06873,-0.00038,0.025964,-0.029991,0.469712,-0.01424,-0.07295,3e-05,7.61,-6.72,107.57,-4.47,-2.21,0.01,413.81,1011.01,17.35,1.212,969.8,40.0,345200.0,0.117,unc_rudder_m20_elevator_0.txt,unc,-20
2,2.496,8.0,0.4939,0.032546,0.13361,0.03372,-0.007892,0.494,0.136844,0.00058,-0.08978,-0.02604,0.013633,-0.136844,0.493887,-0.02282,-0.092,-0.02609,4.84,-30.63,112.89,-7.15,-2.91,-8.18,413.45,1011.04,17.48,1.212,968.9,39.99,344900.0,0.117,unc_rudder_m20_elevator_0.txt,unc,-20
3,2.496,10.0,0.4994,0.038227,0.18035,0.02789,-0.015429,0.4992,0.184249,0.0081,-0.0969,-0.03583,0.006328,-0.184249,0.499371,-0.02345,-0.09793,-0.03622,3.21,-41.22,114.07,-7.35,-3.13,-11.34,413.27,1011.03,17.56,1.212,968.5,39.98,344700.0,0.117,unc_rudder_m20_elevator_0.txt,unc,-20
4,2.496,0.0,0.4716,0.025114,-0.06046,0.04127,0.00455,0.4722,-0.060457,-0.01792,-0.07679,0.02629,0.025114,0.060457,0.471594,-0.00692,-0.08088,0.02709,7.41,13.52,107.84,-2.17,-2.5,8.49,413.22,1011.06,17.66,1.211,968.4,39.99,344500.0,0.117,unc_rudder_m20_elevator_0.txt,unc,-20
