run,hr,min,sec,AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,tM1,tM2,vM1,vM2,pInf,nu,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,B1_zeroed,B2_zeroed,B3_zeroed,B4_zeroed,B5_zeroed,B6_zeroed,B1_zero,B2_zero,B3_zero,B4_zero,B5_zero,B6_zero,config,source_file,rudder_deg,V_round,AoA_round,AoS_round,J,J_round
16.0,12.0,59.0,28.0,2.496,4.0,104.27,101161.0,290.38,251.5,-323.8,109.2,268.3,155.2,140.9,0.0,1.2136371492818563,243.25031736688445,20.02153057898999,222707.5819986702,49.21,49.21,0.53,0.55,0.0,22.222,22.274,33.817,32.539,101161.0,1.4831757361445157e-05,2.0022587771624334,2.0022587771624334,2.4751339749091636,-3.503507577049044,26.876405087964507,-1.2189768256855698,-0.8734758533057261,-0.9127058359163172,0.04685393568732648,-0.06632090236696836,0.5087665428471353,-0.016522432610841898,-0.10022312249543769,-0.01237112990968323,0.5103243299497895,0.024652883630853523,0.06632090236696836,0.5087665428471353,0.051366114139510845,0.06289098264749739,-0.03464300765081394,-0.1134290433458906,-0.1134290433458906,-0.013868083508036186,269.2,-327.3,116.0,268.2,133.39999999999998,139.3,-17.7,3.5,-6.8,0.1,21.8,1.6,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,20,2.5,4,2.0022587771624334,2.0
11.0,12.0,55.0,43.0,2.496,3.995,413.52,101162.0,290.77,672.2,-1333.6,511.3,1154.4,265.1,596.1,0.0,1.212021319675703,969.0849217266067,39.98902232503535,443759.81931502215,98.43,98.44,7.72,6.66,0.0,22.373,22.495,30.201,28.654,101162.0,1.4866993457708315e-05,1.9993535477986348,1.9991504440249863,6.34077957367569,-14.000861097135479,108.68821264708312,-4.408266726533726,-3.51508673605591,-3.8941736768773074,0.030128783783120998,-0.06652634930322533,0.5164418066530524,-0.014998160034111746,-0.10123825497184419,-0.013249071263062191,0.517263937606016,0.0076093444946643,0.06652634930322533,0.5164418066530524,0.034690427015209316,0.06426564430056887,-0.033139798066949305,-0.10973014211267038,-0.10973014211267038,-0.014679727690131827,689.9000000000001,-1337.1,518.1,1154.3000000000002,243.3,594.5,-17.7,3.5,-6.8,0.1,21.8,1.6,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,40,2.5,4,1.9993535477986348,2.0
15.0,12.0,59.0,1.0,2.496,8.0,103.89,101163.0,290.41999999999996,170.3,-953.6,-43.8,475.5,76.0,466.9,0.0,1.2134939840084806,242.363871432735,19.986195193269104,222264.5655347002,49.21,49.21,0.94,0.89,0.0,22.399,22.546,33.945,32.565,101163.0,1.4835091647499657e-05,1.9987250520096567,1.9987250520096567,1.684274144551488,-9.579769714061449,28.19918484703743,-1.8496369835160116,-1.1146572553739693,-3.016480855092828,0.031999683419864075,-0.18200694885499202,0.535758974109123,-0.025162313848234696,-0.12836419665845386,-0.04103596471603535,0.536644255183418,0.008637213443354191,0.18200694885499202,0.535758974109123,0.05701873616895972,0.17578217456889583,-0.07460186936102901,-0.13738340241530517,-0.13738340241530517,-0.044245917027542846,183.10000000000002,-956.9,-34.8,473.5,50.4,461.09999999999997,-12.8,3.3,-9.0,2.0,25.6,5.8,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,20,2.5,8,1.9987250520096567,2.0
12.0,12.0,56.0,44.0,2.496,8.0,413.7,101158.0,290.82,371.0,-3870.9,-104.7,1968.5,-14.2,1896.0,0.0,1.2117650239582876,969.5099735513669,40.002020851990096,443751.0461959339,98.41,98.43,6.55,6.35,0.0,22.319,22.624,30.385,28.659,101158.0,1.4872120030735501e-05,2.0004099058889744,2.000003442431514,3.5297354916885126,-38.49924252861184,113.97959030959562,-7.099151208072996,-4.222219297459298,-12.375215275620759,0.016764502186790035,-0.18285240836896946,0.5413468220193964,-0.02414271462842998,-0.12155111481233581,-0.04208549474547653,0.5415633150370034,-0.006826862398085623,0.18285240836896946,0.5413468220193964,0.0420494878946521,0.17873973354489697,-0.07377560001021413,-0.1262762395159128,-0.1262762395159128,-0.045258467597220894,383.8,-3874.2000000000003,-95.7,1966.5,-39.8,1890.2,-12.8,3.3,-9.0,2.0,25.6,5.8,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,40,2.5,8,2.0004099058889744,2.0
17.0,13.0,0.0,17.0,2.496,9.995,103.97,101163.0,290.31,312.0,-599.3,-14.8,428.2,136.3,244.5,0.0,1.2139537833203915,242.55049051881485,19.990101533520384,222457.5841877914,49.21,49.21,0.64,0.94,0.0,21.864,21.785,34.037,32.643,101163.0,1.4825116789482285e-05,1.9991157066613503,1.9991157066613503,2.897264657653516,-6.760642079788343,28.625814425284076,-0.12796506390056978,-1.6349854652786002,-1.579016739304423,0.0550030525480862,-0.12834725008331332,0.5434460986870463,-0.0017394871153176908,-0.1881404507115604,-0.021464290245853324,0.5453258751688899,0.03128398694320642,0.12834725008331332,0.5434460986870463,0.07644450162969922,0.11685285860492681,-0.03694380752503143,-0.20364322433831902,-0.20364322433831902,-0.023052815846335867,315.0,-610.0,-4.600000000000001,427.0,108.60000000000001,240.8,-3.0,10.7,-10.2,1.2,27.7,3.7,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,20,2.5,10,1.9991157066613503,2.0
13.0,12.0,57.0,10.0,2.496,10.0,413.36,101159.0,290.83,187.5,-4911.8,-404.0,2351.7,-173.6,2382.8,0.0,1.211735336730007,968.7071003996972,39.98594394612135,443550.0120281531,98.44,98.43,7.75,7.42,0.0,22.321,22.69,30.477,28.669,101159.0,1.4872880806731035e-05,1.9989965482252148,1.999199636363813,1.7538493366361534,-49.19371136392037,115.31625675164946,-7.308366752168292,-4.444354183717343,-15.582024057900789,0.008336822997408825,-0.23383950699734754,0.5481492629840952,-0.024874811923250566,-0.1280520748943163,-0.05303509401862628,0.5479922798842379,-0.015542789806592613,0.23383950699734754,0.5481492629840953,0.04881597217996149,0.2288392853305085,-0.08838738256781006,-0.13040183320240645,-0.13040183320240645,-0.05683401647321001,190.5,-4922.5,-393.8,2350.5,-201.29999999999998,2379.1000000000004,-3.0,10.7,-10.2,1.2,27.7,3.7,rudder_m10_elevator_0,raw_rudder_m10_elevator_0.txt,-10.0,40,2.5,10,1.9989965482252148,2.0
7.0,17.0,28.0,49.0,2.496,0.0,413.42,101102.0,290.77,633.9,505.2,985.7,680.5,249.8,-408.5,0.0,1.2113024600329465,968.8487831196425,39.996012669374075,443574.14790770254,98.43,98.43,6.58,6.93,0.0,20.695,20.891,28.512,28.858,101102.0,1.4875816424686836e-05,1.9997030479599631,1.9997030479599631,5.934854788693803,3.067854914387185,108.32557596267218,-1.7334155781907192,-3.277768489029368,2.6799739045648447,0.028206868916841883,0.014580741148184658,0.5148441588396436,-0.005899003484398887,-0.09442624481561661,0.009120245369911349,0.5155841068364693,0.005758830005502161,-0.014580741148184658,0.5148441588396436,0.028206868916841883,-0.014580741148184658,-0.002184864072101479,-0.10237643454654398,-0.10237643454654398,0.00901644262307791,646.1666666666666,510.43333333333334,990.8666666666667,682.2333333333333,228.9,-411.6,-12.266666666666666,-5.233333333333333,-5.166666666666667,-1.7333333333333336,20.900000000000002,3.1,rudder_m5_elevator_0,raw_rudder_m5_elevator_0.txt,-5.0,40,2.5,0,1.9997030479599631,2.0
8.0,17.0,29.0,34.0,2.496,4.0,413.08,101104.0,290.83,627.8,-1835.1,382.4,1291.8,234.1,937.5,0.0,1.2110765180038419,968.0459187785995,39.98316648035563,443278.0618370876,98.44,98.43,6.62,6.84,0.0,20.888,21.001,28.637,28.774,101104.0,1.4880971569157546e-05,1.9988576958203303,1.9990607698522125,5.932703060890534,-17.792944279978673,108.4607517965905,-4.09078674376746,-3.4874928716434836,-6.121743855621287,0.028220027632489767,-0.08463551505795036,0.5159141425630291,-0.013932942254745782,-0.10055132813999088,-0.02085024445937354,0.5166536484854932,0.005725378830474991,0.08463551505795036,0.5159141425630291,0.034055160147471085,0.08246081758043104,-0.03684384219629513,-0.10850522669398274,-0.10850522669398274,-0.022434999172848916,645.5,-1838.6,389.2,1291.7,212.29999999999998,935.9,-17.7,3.5,-6.8,0.1,21.8,1.6,rudder_m5_elevator_0,raw_rudder_m5_elevator_0.txt,-5.0,40,2.5,4,1.9988576958203303,2.0
5.0,17.0,27.0,28.0,2.496,8.0,413.6,101103.0,290.59,316.8,-4388.7,-237.1,2112.7,-48.2,2249.3,0.0,1.21206476484882,969.2738332785281,39.99220306840241,444024.1348092035,98.44,98.43,6.69,5.99,0.0,20.627,20.687,28.738,28.8,101103.0,1.4859325363624548e-05,1.9993094572777461,1.9995125772063527,3.0314849949308993,-42.40469060551149,113.88142946770279,-6.732263081787941,-4.139748418222957,-14.682518425976724,0.014401565880406107,-0.20145042657795903,0.5410123790077764,-0.02290058337880738,-0.11920594128825703,-0.049944310455505576,0.541126284296638,-0.009172992029632968,0.20145042657795903,0.5410123790077764,0.04229789138782679,0.19748561429226422,-0.07742933206877833,-0.12326506537995355,-0.12326506537995355,-0.05326894608642209,329.6,-4392.0,-228.1,2110.7,-73.80000000000001,2243.5,-12.8,3.3,-9.0,2.0,25.6,5.8,rudder_m5_elevator_0,raw_rudder_m5_elevator_0.txt,-5.0,40,2.5,8,1.9993094572777461,2.0
6.0,17.0,28.0,4.0,2.496,9.995,413.18,101103.0,290.69,139.5,-5411.7,-530.7,2494.5,-212.4,2729.6,0.0,1.2116478035619338,968.2820542389113,39.978614543068126,443602.2211441562,98.43,98.43,7.47,5.58,0.0,20.581,20.759,28.844,28.75,101103.0,1.4868404494148587e-05,1.9988331840940223,1.9988331840940223,1.3125724684712332,-52.893790915303896,115.36345784820567,-6.8395750682852645,-4.484204325729975,-17.84739052685116,0.006241977355441586,-0.25153799357176193,0.5486143499357738,-0.023289447898383605,-0.12925696417201576,-0.06077217775188677,0.5483656958166622,-0.017655902363391873,0.25153799357176193,0.548614349935774,0.04980473894215362,0.2466370054763022,-0.09145021374915423,-0.13101628401776733,-0.13101628401776733,-0.064697144956313,142.5,-5422.4,-520.5,2493.3,-240.1,2725.9,-3.0,10.7,-10.2,1.2,27.7,3.7,rudder_m5_elevator_0,raw_rudder_m5_elevator_0.txt,-5.0,40,2.5,10,1.9988331840940223,2.0
28.0,8.0,10.0,41.0,2.496,-9.995,104.26,101189.0,289.28999999999996,330.2,896.7,533.5,-88.4,83.8,-457.2,0.0,1.2185471305276716,243.22698967108667,19.98019463460076,223798.9645853479,49.21,49.21,0.59,0.58,0.0,19.603,19.399,45.032,44.352,101189.0,1.4728956569678325e-05,1.9981249644581995,1.9981249644581995,2.613840920831155,8.52080265536963,29.33895051356545,-1.046044641833161,-1.9136533810016112,2.840559422068558,0.049484384084391125,0.16131305770954663,0.5554354453156867,-0.01417980994861138,-0.2195947502517446,0.038505615479357116,0.5570635110491933,0.0252484225010611,-0.16131305770954663,0.5554354453156867,0.07673120982660647,-0.15027617340869562,0.029580165622244418,-0.233542070790895,-0.233542070790895,0.03975728940925177,284.59999999999997,870.2,536.1,-83.60000000000001,64.8,-434.7,45.6,26.5,-2.6,-4.8,19.0,-22.5,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,20,2.5,-10,1.9981249644581995,2.0
20.0,8.0,3.0,34.0,2.496,-10.0,414.92,101193.0,289.89,683.6,4276.0,2362.5,-391.9,-76.4,-2171.3,0.0,1.2160731113350067,972.3909594001356,39.99038738198461,446306.3469309787,98.42,98.43,6.88,6.75,0.0,21.406,21.947,30.325,30.385,101193.0,1.4782670205155337e-05,1.9996249492965537,1.9994217973155215,5.8498046751061,41.28985933234438,118.92845611132647,-1.0097392902756508,-7.416589613684414,14.027813347794028,0.027701369096436956,0.1955254400497549,0.5631779592281011,-0.003423736231037571,-0.2128794685405792,0.047564290370402176,0.5638500368901678,0.0031488901381546072,-0.1955254400497549,0.5631779592281011,0.061233159407388466,-0.187744677009647,0.049565245623132186,-0.22068718164664555,-0.22068718164664555,0.04967771306264627,638.0,4249.5,2365.1,-387.09999999999997,-95.4,-2148.8,45.6,26.5,-2.6,-4.8,19.0,-22.5,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,40,2.5,-10,1.9996249492965537,2.0
26.0,8.0,9.0,3.0,2.496,-8.0,104.24,101190.0,289.33,328.7,671.0,453.6,-22.7,105.8,-350.6,0.0,1.2183907064735384,243.18033430725566,19.979560682557434,223739.12325650058,49.21,49.21,0.6,0.58,0.0,20.185,19.959,44.909,44.134,101190.0,1.4732428520159189e-05,1.9980615659064234,1.9980615659064234,2.7008721050822952,6.304538068544964,29.06200962874485,-1.016482703594064,-1.7175706052780777,2.1996451419946084,0.051141840024383114,0.11937835809494415,0.5502980479614616,-0.01378172238987187,-0.19713175526160212,0.029823329601195405,0.5520031693373514,0.027128037761588182,-0.11937835809494415,0.5502980479614616,0.06725838743643071,-0.11109900765522297,0.018547779873250243,-0.2115462346772814,-0.2115462346772814,0.03060278429156354,294.0,655.5,456.3,-17.299999999999997,86.9,-336.70000000000005,34.7,15.5,-2.7,-5.4,18.9,-13.9,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,20,2.5,-8,1.9980615659064234,2.0
25.0,8.0,8.0,10.0,2.496,-4.0,104.33,101191.0,289.37,249.6,428.2,323.7,74.6,129.6,-246.9,0.0,1.2182343256648152,243.39028373602326,19.98946635397758,223797.30524426766,49.21,49.21,0.56,0.58,0.0,20.549,20.332,44.893,43.941,101191.0,1.4735900733930148e-05,1.9990521853531449,1.9990521853531449,2.3299064614085596,3.712117485203861,27.612775519369457,-0.1648759289195914,-1.070392192010539,1.5605708355783914,0.04407943608746352,0.07022944832698436,0.5224053385249141,-0.002233500088357423,-0.12274678804362647,0.02114035154793409,0.5238293575557128,0.021287051648551245,-0.07022944832698436,0.5224053385249141,0.04887101946486486,-0.06698354689448856,0.016623563043344895,-0.13517070794628464,-0.13517070794628464,0.0218442451378315,253.6,417.5,329.7,77.6,106.6,-239.1,-4.0,10.7,-6.0,-3.0,23.0,-7.8,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,20,2.5,-4,1.9990521853531449,2.0
15.0,7.0,59.0,55.0,2.496,-3.995,415.08,101192.0,289.75,605.0,2336.1,1540.5,210.3,155.2,-1304.0,0.0,1.2166486644737404,972.7688038271755,39.98869424008703,446666.043676063,98.44,98.42,6.41,7.57,0.0,21.335,21.615,30.295,30.305,101192.0,1.4770140458672607e-05,1.9991340422443982,1.9995402877315438,5.588414801971608,21.11283129232872,111.21177813921176,0.6874384260027631,-4.17427049379646,8.459759605888756,0.026453295349840374,0.0999396039195734,0.5264315763496248,0.002330001096537516,-0.11976816470708398,0.02867347592537017,0.5270841634519289,0.003502292248953324,-0.0999396039195734,0.5264315763496248,0.033351751582638436,-0.09785377832683352,0.02922062074276895,-0.127224104523003,-0.127224104523003,0.029918819906269257,609.0,2325.4,1546.5,213.3,132.2,-1296.2,-4.0,10.7,-6.0,-3.0,23.0,-7.8,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,40,2.5,-4,1.9991340422443982,2.0
1.0,7.0,50.0,35.0,-5.003,0.0,416.15,101202.0,289.04999999999995,-712.5,-304.7,-677.2,-537.7,-44.9,145.1,0.0,1.2197155774698278,975.2956993346116,39.99022680162341,448650.62717508303,123.03,123.03,17.61,17.79,0.0,17.271,17.78,34.089,33.593,101202.0,1.4705369044506352e-05,1.5996285235477827,1.5996285235477827,-6.721431338813685,-3.1663429218524537,-75.4105237120606,-1.0934200877537406,5.99503041632642,-0.988469440303608,-0.031734103840804745,-0.014949353792758899,-0.35603806236163577,-0.003696431773671626,0.17156374702536076,-0.0033416340959565157,-0.35191414013263134,-0.06266253403364494,0.014949353792758899,-0.3560380623616357,-0.03173410384080475,0.014949353792758899,-0.0081712325562684,0.1805080983895318,0.1805080983895318,-0.002616306857077556,-731.4,-315.5,-667.6,-528.0,-82.3,151.29999999999998,18.9,10.8,-9.6,-9.7,37.4,-6.2,rudder_0_elevator_0,raw_rudder_0_elevator_0.txt,0.0,40,-5.0,0,1.5996285235477827,1.6
