AoA_FINAL,AoS,AoS_round,V_FINAL,AoA_round,V_round,dE,dR,CL_FINAL,CD_FINAL,CYaw_FINAL,CMroll_FINAL,CMpitch_FINAL,CMyaw_FINAL,CFt_FINAL
3.091674066589884,-9.995,-10.0,19.82745582743746,2.5,20.0,0.0,0.0,0.5321328727311033,0.05084387234751137,-0.13707578291531633,0.02315537467202829,-0.1888353487193382,0.03181523057551652,0.01988172698193422
3.0904055324076896,-10.0,-10.0,39.693117021261145,2.5,40.0,0.0,0.0,0.5400764134328876,0.03558294495938879,-0.17404759742316417,0.04285428525920376,-0.17627523456747304,0.04160224321906189,0.019800450628019436
3.0871236091429033,-8.0,-8.0,19.82554050362077,2.5,20.0,0.0,0.0,0.5286180725066386,0.05318186626608518,-0.05131819417221996,0.0020491507469958207,-0.19798648465501417,0.008322963493988133,0.01988516581899295
3.0705937222972537,-4.0,-4.0,19.841024887206107,2.5,20.0,0.0,0.0,0.50119591920341,0.04251822233540845,-0.03882014769962212,0.008430281489565346,-0.1268267863247533,0.007875955701904974,0.019831466436951592
3.0697671582388413,-3.995,-4.0,39.69672035927707,2.5,40.0,0.0,0.0,0.505394257228209,0.027226691953527074,-0.06925097728056802,0.02084617439192459,-0.11905494971856107,0.01583502643682761,0.019827032336404933
-5.229566127548889,0.0,0.0,39.746093501811686,-5.0,40.0,0.0,0.0,-0.37432969611376876,-0.03674162952872384,0.010964248248449526,-0.006491245021149413,0.1764390279474869,-0.00525159475355754,0.0486232154824747
-5.226566127548889,0.0,0.0,39.59708449630487,-5.0,40.0,0.0,0.0,-0.3633065355195717,0.05614946962455561,-0.002525856849508834,1.5797443994538873e-05,0.16271192739124815,-0.000890767092743341,0.00304131383343478
3.0727446113892007,0.0,0.0,19.88096203719907,2.5,20.0,0.0,0.0,0.4965101606879141,-0.022519704766978794,0.009876922226252593,-0.01068454206739387,-0.09837830106082744,-0.005750825802828759,0.04854975865417497
3.0727446113892007,0.0,0.0,19.82434142698286,2.5,20.0,0.0,0.0,0.4829755733983573,0.06575402092753731,0.004560401433768005,-0.005416514578252793,-0.08325441857744668,-0.004337649499987244,0.0029898116716404986
3.0727446113892007,0.0,0.0,19.761246288097144,2.5,20.0,0.0,0.0,0.478220583824571,0.08102389729814351,0.00457093553465648,-0.004949308858808637,-0.08063636340179595,-0.004196261715557181,-0.0068395095450121774
3.0727446113892007,0.0,0.0,19.861742625395227,2.5,20.0,0.0,0.0,0.48769868022570984,0.03672479653592482,0.00569571411755212,-0.0075100589756920974,-0.0911433300303677,-0.0046446176172062455,0.01972982547937545
3.07564049605014,0.0,0.0,39.748280497757136,2.5,40.0,0.0,0.0,0.5101241573327339,-0.04076787755313147,0.009791280825821775,-0.008476887740408596,-0.11452636294169179,-0.004845672802213167,0.04861488747334369
3.07164049605014,0.0,0.0,39.68077347048343,2.5,40.0,0.0,0.0,0.4944933738684122,0.05456771411642272,0.008017087923643917,-0.004830281590819548,-0.09321786418052816,-0.003872778897699469,0.0029913806389054655
3.07164049605014,0.0,0.0,39.55685026885947,2.5,40.0,0.0,0.0,0.4887451172537822,0.07259548933245884,0.00770471697401788,-0.0037610437414251565,-0.08757078256990893,-0.0036158039836993974,-0.006853337298120067
3.07164049605014,0.0,0.0,39.71282089218149,2.5,40.0,0.0,0.0,0.49984159680921303,0.021252108994869158,0.008884284342406516,-0.006339549957336006,-0.1009281302300258,-0.004354318638303401,0.01977728879664735
5.817659113537325,0.0,0.0,39.75485966091307,5.0,40.0,0.0,0.0,0.781087477685976,-0.026502045186027307,0.007207222334801746,-0.008182165530826083,-0.21317645865749252,-0.004327090378959942,0.04858984063660251
