AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw,CD_modeloff,CY_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CD_fit_pred,CDi_fit,esb,CL2_fit,CDsep_fit,ewb,e_total_blockage,V_blockage_corr,CL_blockage_corr,CD_blockage_corr,CYaw_blockage_corr,CMroll_blockage_corr,CMpitch_blockage_corr,CMyaw_blockage_corr
9.0,-10.0,19.991447977800103,-20,0,0.9894069617877395,0.1039840410582256,-0.111423590913087,0.022848908692520698,0.113760024354898,0.0248919689093021,0.0274999999999999,-0.01635,-0.0079499999999999,0.0074,-0.03455,0.008,True,0.1314840410582255,0.9814569617877396,0.0302489086925207,0.079210024354898,0.0328919689093021,20.0,9.0,-10.0,0.9789261360340453,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.13180282731726858,0.059893200846438746,0.007229438,0.9789261360340453,0.0,0.001886324984234812,0.009115762984234813,19.810856901768982,0.9716122496332021,0.1021138641231924,-0.10941961195993641,0.02243796580558765,0.11171402410801187,0.024444281113675137
10.0,-10.0,19.99294458794892,-20,0,1.0550683936955239,0.1122285973726603,-0.1045649118911129,0.0197213040830425,0.0573861300665022,0.0236761920235144,0.0293999999999999,-0.0154499999999999,-0.0088499999999999,0.008,-0.0371499999999999,0.0074,True,0.1416285973726602,1.046218393695524,0.0277213040830425,0.0202361300665023,0.0310761920235144,20.0,10.0,-10.0,1.1131693153752529,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.14001616784071316,0.06810654136988332,0.007229438,1.1131693153752529,0.0,0.001886324984234812,0.009115762984234813,19.812339992414987,1.036092745560566,0.11021014019287104,-0.10268428786032496,0.01936661188557125,0.05635402729622139,0.023250370255277868
11.0,-10.0,19.99459564281653,-20,0,1.0313642874203388,0.14129027662996219,-0.0936783532532841,0.014915132970036802,-0.0403753356718628,0.0219701561297121,0.0284999999999999,-0.0153499999999999,0.00625,0.0081,-0.0346499999999999,0.0072,True,0.1697902766299621,1.037614287420339,0.0230151329700368,-0.0750253356718627,0.0291701561297121,20.0,11.0,-10.0,1.0637122933660632,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.13699026093780448,0.06508063446697464,0.007229438,1.0637122933660632,0.00430001569215771,0.002450312549655497,0.009679750549655497,19.802908429065507,1.0116838014396967,0.13859417657847406,-0.09189078358427585,0.014630522509022664,-0.03960489380438134,0.021550921767055625
12.0,-10.0,19.996463621764704,-20,0,1.0475174480487044,0.1547891119723056,-0.0891419405841012,0.011478588315278399,-0.05937142891857781,0.021243899467489502,0.0289999999999999,-0.0154499999999999,0.01795,0.0086,-0.03525,0.007,True,0.1837891119723055,1.0654674480487043,0.0200785883152784,-0.0946214289185778,0.0282438994674895,20.0,12.0,-10.0,1.09729280396647,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.1390448023295221,0.06713517585869225,0.007229438,1.09729280396647,0.01574430964278352,0.003951339509846274,0.011180777509846274,19.77535972450781,1.0244804030731207,0.15138498372520184,-0.0871815275157823,0.011226150748946824,-0.0580657301153648,0.0207767027936766
13.0,-10.0,19.99389330178525,-20,0,1.0736448042533706,0.1670321529218451,-0.0849606325171199,0.0074331204640747,-0.09309874702687759,0.020193852381062298,0.032,-0.01525,0.03045,0.0091,-0.0419499999999999,0.0067,True,0.1990321529218451,1.1040948042533707,0.0165331204640747,-0.1350487470268775,0.0268938523810623,20.0,13.0,-10.0,1.1527131657002585,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.14243556158511994,0.0705259351142901,0.007229438,1.1527131657002585,0.02459659133672515,0.005112399645066154,0.012341837645066155,19.750140277019,1.047625969604445,0.1629842760535266,-0.08290168654134317,0.0072529853472147075,-0.09084258102549783,0.019704472183862853
14.0,-10.0,19.994729351427097,-20,0,1.1052890388099512,0.1871495572015641,-0.0821300097612051,0.002062893753054901,-0.1502458367170841,0.018854532079207998,0.031,-0.01555,0.03445,0.0096,-0.0347499999999999,0.0068,True,0.2181495572015641,1.1397390388099513,0.0116628937530549,-0.184995836717084,0.025654532079208,20.0,14.0,-10.0,1.221663859313426,True,0.07190962647082984,0.061182553659345516,0.6763764700871265,0.14665414109695665,0.07474451462612682,0.007229438,1.221663859313426,0.04049541610460744,0.007197680284911585,0.014427118284911587,19.710365575825808,1.0740738968838512,0.1818641524030659,-0.07981052605959499,0.0020046343122941336,-0.14600265239854693,0.018322049738266337
-5.002,-10.0,19.9917712616901,-15,0,-0.4462092923787513,0.0957945466054661,-0.1371562313623177,0.030398425829518197,0.5275601903174129,0.025813896032592203,0.0259999999999999,-0.00575,0.02385,0.0049,-0.0322499999999999,0.0068,True,0.121794546605466,-0.4223592923787513,0.0352984258295182,0.4953101903174129,0.0326138960325922,20.0,-5.0,-10.0,0.19910273260514597,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.07755120452919671,0.01276980627803893,0.007229438,0.19910273260514597,0.018243342076269393,0.004092124298910631,0.011321562298910633,19.76796699186885,-0.4362747481714344,0.09366174665188719,-0.1341025418335453,0.029721625703670856,0.5158144240990793,0.025239167321919834
-2.5,-10.0,19.99405252836675,-15,0,-0.1727734947973006,0.0790067697086201,-0.1322741253590062,0.028426748551419103,0.444985100002501,0.0256864695525403,0.0271999999999999,-0.0068667706167706,0.0191831944444444,0.0055741071428571,-0.037017027027027,0.00736125,True,0.10620676970862,-0.1535903003528562,0.0340008556942762,0.407968072975474,0.0330477195525403,20.0,-2.5,-10.0,0.029850680504472853,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.06669592449759414,0.001914526246436357,0.007229438,0.029850680504472853,0.012310845211025961,0.003314021449193921,0.010543459449193921,19.785445486198775,-0.16918705352055782,0.07736674303463555,-0.1295283721195458,0.02783666461239821,0.43574807593201603,0.025153268468860734
0.002,-10.0,19.99849442408276,-15,0,0.10814369614997799,0.07211538555433561,-0.1300390958126969,0.027600041266601198,0.35693590069674414,0.026434456426852503,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1000153855543355,0.1253936961499779,0.0336000412666012,0.3168859006967442,0.0340344564268525,20.0,0.0,-10.0,0.011695059016978763,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.06553148156796099,0.0007500833168032135,0.007229438,0.011695059016978763,0.006583903986374617,0.002562879158134578,0.009792317158134578,19.804561873044012,0.10605644966901485,0.07072350983637572,-0.12752925330882817,0.027067341802286076,0.35004679639217634,0.025924253538312406
-0.005,-10.0,20.003650542022203,-15,0,0.10765256682772309,0.07168267925092281,-0.1296124752706418,0.027681807008967003,0.3541050411349843,0.026375572342767804,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.0995826792509227,0.124902566827723,0.033681807008967,0.3140550411349844,0.0339755723427678,20.0,-0.0,-10.0,0.011589075144597385,True,0.06478139825115778,0.06413677055534739,0.7318048523795788,0.0655246841046555,0.0007432858534977218,0.007229438,0.011589075144597385,0.0061579951462673085,0.002507017201569779,0.00973645520156978,19.81076392654255,0.10558648129138272,0.07030693363546092,-0.1271249316070105,0.027150533275638204,0.34730899970844775,0.025869368077176078
