AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,solid_blockage_e,V_round,AoA_round,AoS_round,ewb_t_fit,q_ratio_wake,V_wake_corr,CL_solid_blockage_corr_wake_corr,CD_solid_blockage_corr_wake_corr,CYaw_solid_blockage_corr_wake_corr,CMroll_solid_blockage_corr_wake_corr,CMpitch_solid_blockage_corr_wake_corr,CMyaw_solid_blockage_corr_wake_corr
8.0,-10.0,19.99438648402602,19.850875808125476,-10,-20,0.9723047159766104,0.9583972781560649,0.1424636218167897,0.1404258820737333,-0.1773883774203038,-0.1748510886583313,0.0441454419548462,0.04351400411549472,-0.0820036336569878,-0.08083068816222298,0.0632092262228913,0.062305108029350825,0.007229438,20.0,8.0,-10.0,0.00279934164869645,1.0055986832973929,19.906367629664228,0.9530613892745434,0.1396440592118438,-0.17387760302647626,0.04327173935114035,-0.08038066229082198,0.06195822355798063
10.0,-10.0,19.989449226446386,19.84597398795088,-10,-20,1.0623367441318137,1.0471415260373975,0.1719420667984921,0.16948267977357756,-0.158671856381952,-0.15640228086694893,0.037902874450049,0.03736072767139789,-0.2351762744340242,-0.23181241189194698,0.0591517555588083,0.05830567371955285,0.007229438,20.0,10.0,-10.0,0.0030310747225720134,1.006062149445144,19.906037726751393,1.0408318478285952,0.1684614413404275,-0.15545985996313127,0.037135606077619364,-0.23041559810176185,0.05795434581423142
12.0,-10.0,19.98816824027108,19.844702196115797,-10,-20,1.1398488885037408,1.1235449692887023,0.2033234575359956,0.20041520429328663,-0.143251022187727,-0.1412020198008525,0.0301858205765081,0.029754055291580664,-0.3456363565790358,-0.3406925194684499,0.0544972761099655,0.05371776998762074,0.007229438,20.0,12.0,-10.0,0.0058780335579438625,1.0117560671158876,19.96100919213574,1.110489974615601,0.19808648626599326,-0.1395613274683522,0.029408329002066268,-0.3367338536843453,0.053093598085108246
0.003,-10.0,20.00138968204786,19.857828740354847,-10,-10,0.1781339881069804,0.17558603444326162,0.1038558929162493,0.10237038189352511,-0.1642361919588324,-0.16188702652744147,0.0381452942737783,0.03759968002390178,0.1444891065809983,0.14242239515555485,0.049534376546938,0.048825857653132076,0.007229438,20.0,0.0,-10.0,0.0035057000071094463,1.0070114000142187,19.92732273094328,0.17436350218158642,0.10165761965761229,-0.16075987473940778,0.037337889147402784,0.1414307674705012,0.04848590358802558
0.006,-10.0,20.025133442666338,19.881402078983257,-10,-10,0.178225765358767,0.17567649895182938,0.103693591840998,0.1022104023046095,-0.1638811934714438,-0.16153710578914596,0.0379423804335935,0.03739966857796533,0.1470198377882524,0.1449169278477477,0.0494738996897256,0.0487662458314558,0.007229438,20.0,0.0,-10.0,0.0034844826228387403,1.0069689652456775,19.950558201579963,0.17446068847709553,0.10150303120779149,-0.16041915030592288,0.03714083538695819,0.1439139962097951,0.04842874757272976
2.492,-10.0,19.99081337555951,19.84732834581778,-10,-10,0.4525324095849286,0.4460595762800293,0.105803852712978,0.10429047889240374,-0.1632699956172495,-0.16093465025206025,0.0383506213251544,0.037802070163471355,0.052932237629061,0.05217511715907634,0.0511520797687599,0.05042042192828438,0.007229438,20.0,2.5,-10.0,0.002516456215688527,1.005032912431377,19.8972105941239,0.4438258396940667,0.10376822251532447,-0.16012873634429237,0.037612768393843476,0.05191383935164295,0.05016793112407356
5.0,-10.0,19.98400657877036,19.84057040514175,-10,-10,0.7144072230699623,0.7041886425466595,0.1133710376881527,0.11174942603555979,-0.1585222682625443,-0.15625483239310212,0.0378393067486112,0.03729806921563237,-0.0259620852636789,-0.02559073451266084,0.0510665142710972,0.05033608032352148,0.007229438,20.0,5.0,-10.0,0.0024233927515985767,1.004846785503197,19.88859378023755,0.7007920537796446,0.11121041301793988,-0.15550115166547943,0.03711816542952329,-0.025467299972349287,0.05009328889708761
7.0,-10.0,19.986356848712973,19.842903805908197,-10,-10,0.8956973238856957,0.8828856459895772,0.121707089095757,0.1199662420689906,-0.1471589195079465,-0.14505402020100466,0.0359854563392001,0.03547073550296647,-0.0714233993311512,-0.07040178905938341,0.0478084976107899,0.04712466496358535,0.007229438,20.0,7.0,-10.0,0.0024233927515985767,1.004846785503197,19.890932828915215,0.8786271287591915,0.11938759599943898,-0.14435436555471087,0.03529964569195869,-0.07006221254330659,0.046897363502025564
8.0,-10.0,19.995343532488548,19.851825987326382,-10,-10,0.9826072339226818,0.9685524332174607,0.1287360159911116,0.12689463014957236,-0.1452565238381636,-0.14317883559895891,0.0358576543511634,0.03534476154082819,-0.1130675538827726,-0.11145028313492233,0.0479335422192496,0.047247920986544664,0.007229438,20.0,8.0,-10.0,0.0024233927515985767,1.004846785503197,19.89987660614724,0.9638807101646235,0.12628256564111648,-0.1424882257321043,0.0351742793535719,-0.11091271300540748,0.04702002501096157
10.0,-10.0,19.98875823043545,19.845287951597232,-10,-10,1.0871474849952452,1.0715973844959923,0.1572937331998419,0.15504386977935955,-0.1301533237879188,-0.1282916653716067,0.0309563721390582,0.03051358520858323,-0.2527331792472261,-0.24911819012106606,0.0452254746811498,0.044578588507815764,0.007229438,20.0,10.0,-10.0,0.0024233927515985767,1.004846785503197,19.893322745341703,1.0664286336542028,0.1542960300178681,-0.12767286239300857,0.030366405753393482,-0.24791659157899895,0.04436356781048182
12.0,-10.0,19.98917853748232,19.845705241869947,-10,-10,1.1449582669788174,1.1285812653624738,0.1948715505660636,0.19208418984677647,-0.1159157574352617,-0.11425774718141539,0.0232946486897808,0.022961451829906294,-0.3672323488223802,-0.3619796117194749,0.0413274015404147,0.04073627176621553,0.007229438,20.0,12.0,-10.0,0.006098546420476086,1.012197092840952,19.966368376813207,1.114981729689486,0.18976955299056458,-0.11288092802235392,0.0226847636614525,-0.35761771524506175,0.04024539494761865
-5.002,-10.0,19.99146684709908,19.847977127033772,-10,0,-0.376868004647219,-0.3714774431750165,0.1146270422520028,0.11298746523825609,-0.1388080204994544,-0.13682256894052602,0.0342485320890803,0.03375865548697473,0.3605115913936612,0.3553549851790577,0.0330129750166244,0.03254077130335354,0.007229438,20.0,-5.0,-10.0,0.004778107176086035,1.009556214352172,19.942587397399915,-0.3679611277648289,0.11191795328679115,-0.1355274396763775,0.03343910423912107,0.3519912810472744,0.0322327482518988
-2.5,-10.0,19.99903106076334,19.855487048188657,-10,0,-0.1054964968589119,-0.10398751932723654,0.1008477471357408,0.09940526336538937,-0.1331870104991223,-0.13128195950370428,0.0328384376996293,0.032368730494750905,0.2674012312266752,0.2635764364526552,0.0331887820992346,0.03271406371537782,0.007229438,20.0,-2.5,-10.0,0.0040746584255288605,1.0081493168510576,19.936227215251957,-0.10314694221292568,0.09860172665283405,-0.13022074935661507,0.03210707972887811,0.2614458315321118,0.03244962146833547
0.002,-10.0,20.001732209997687,19.85816880979375,-10,0,0.174550108658016,0.17205341729897788,0.0962016487297825,0.09482562079742843,-0.1309049176041609,-0.12903250870593305,0.0324060374449489,0.031942515111496865,0.1696204579324044,0.16719427822451527,0.0341979930259617,0.03370883931336421,0.007229438,20.0,0.0,-10.0,0.0033147413509747765,1.0066294827019495,19.923884767319095,0.17092030409953804,0.09420111612755645,-0.12818272355742036,0.03173214738928389,0.16609316645061886,0.033486838894172324
0.002,-10.0,20.0032148697331,19.85964082766721,-10,0,0.1783730761978071,0.17582170271856942,0.0959363092515213,0.09456407662349375,-0.128854386543338,-0.12701130757919243,0.031823015138503,0.03136783211097189,0.142874105889426,0.14083049475479584,0.0339997197012027,0.03351340200687216,0.007229438,20.0,0.0,-10.0,0.003269326348975574,1.006538652697951,19.92446268545051,0.1746795339128732,0.09394977169532623,-0.12618621971322036,0.031164061138529337,0.13991563501044924,0.03329569303378664
