AoA,AoS,dR,dE,V,AoA_round,AoS_round,V_round,J,J_round,AoA_tail_corr,dPb,pBar,temp,rho,q,Re,J_M1,J_M2,CT,CL_uncorrected,CL_solid_blockage_corr_wake_corr_sc_corr,CD_uncorrected,CD_solid_blockage_corr_wake_corr_dw_corr,CYaw_solid_blockage_corr_wake_corr,CMroll_uncorrected,CMroll_solid_blockage_corr_wake_corr,CMpitch_uncorrected,CMpitch_solid_blockage_corr_wake_corr_sc_corr_tail_corr,CMyaw_uncorrected,CMyaw_solid_blockage_corr_wake_corr,CMpitch25c_uncorrected
2.496,-10.0,0.0,0.0,39.99038738198461,2.5,-10.0,40.0,1.9996249492965537,2.0,3.335040233477442,414.92,101193.0,289.89,1.2160731113350067,972.3909594001356,446306.3469309787,1.9996249492965537,1.9994217973155213,0.0031488901381546,0.5631779592281009,0.5397380931426231,0.0612331594073884,0.0356041406210771,-0.1846249864226145,0.0495652456231321,0.042775777599424636,-0.2206871816466455,-0.17811967613617763,0.0496777130626462,0.04152602925966587,-0.2206871816466455
2.496,-8.0,0.0,0.0,19.979560682557437,2.5,-8.0,20.0,1.9980615659064236,2.0,3.330407595468191,104.24,101190.0,289.33,1.2183907064735384,243.1803343072557,223739.12325650055,1.9980615659064236,1.9980615659064236,0.0271280377615881,0.5502980479614616,0.528316866827727,0.0672583874364307,0.05316978271508007,-0.1091921164675756,0.0185477798732502,0.0020453932076575417,-0.2115462346772814,-0.19978399904755034,0.0306027842915635,0.008307701628659011,-0.2115462346772814
2.496,-4.0,0.0,0.0,19.98946635397758,2.5,-4.0,20.0,1.9990521853531449,2.0,3.3070746361295535,104.33,101191.0,289.37,1.2182343256648152,243.3902837360233,223797.30524426769,1.9990521853531449,1.9990521853531449,0.0212870516485512,0.5224053385249141,0.5009275441105445,0.0488710194648648,0.04252094385989117,-0.06587133018989198,0.0166235630433448,0.008414814872624165,-0.1351707079462846,-0.1286946750664072,0.0218442451378315,0.007861506078836294,-0.1351707079462846
2.496,-3.995,0.0,0.0,39.98869424008703,2.5,-4.0,40.0,1.9991340422443984,2.0,3.3059078897539855,415.08,101192.0,289.75,1.2166486644737404,972.7688038271756,446666.043676063,1.9991340422443984,1.999540287731544,0.0035022922489533,0.5264315763496248,0.5050823064553361,0.0333517515826384,0.027257188631068636,-0.09625295143022052,0.0292206207427689,0.020807888556366984,-0.127224104523003,-0.12092535410162207,0.0299188199062692,0.0158059440159089,-0.127224104523003
-5.003,0.0,0.0,0.0,39.99022680162341,-5.0,0.0,40.0,1.5996285235477827,1.6,-5.32281212521137,416.15,101202.0,289.04999999999995,1.2197155774698278,975.2956993346116,448650.62717508303,1.5996285235477827,1.5996285235477827,-0.0626625340336449,-0.3560380623616357,-0.3730994753444982,-0.0317341038408047,-0.03658339628297923,0.014709198961382114,-0.0081712325562684,-0.006465668578830755,0.1805080983895318,0.17656854987112253,-0.0026163068570775,-0.005230902712222218,0.1805080983895318
-5.0,0.0,0.0,0.0,39.97859556381135,-5.0,0.0,40.0,2.398452479684511,2.4,-5.31981212521137,415.49,101197.0,289.33,1.218474990839042,973.7370409857692,447727.296587814,2.398452479684511,2.3987449025666967,0.0321737419527237,-0.3474419753115519,-0.3634499007713961,0.0626938744929595,0.05614527219457768,0.0012506553775376865,-0.0015838966782435,1.5792921013248405e-05,0.1677604518429098,0.16349166423107994,0.0017919854433781,-0.0008905120563655551,0.1677604518429098
2.496,0.0,0.0,0.0,20.006496532749907,2.5,0.0,20.0,1.6004091023428386,1.6,3.310110749334256,104.48,101192.0,289.45,1.2179096580800357,243.7402011165107,223880.23999536084,1.6004091023428386,1.6004091023428386,-0.0401310183411548,0.5176227690795846,0.4952197839480288,-0.0176054357190671,-0.02234392098332244,0.008381996365659687,-0.0112532323536203,-0.010642530605268069,-0.1076748025209407,-0.10010062850170527,-0.0024736800489331,-0.005728213640427816,-0.1076748025209407
2.496,0.0,0.0,0.0,20.000326911601103,2.5,0.0,20.0,2.40006841422405,2.4,3.310110749334256,104.43,101192.0,289.41,1.2180779880835713,243.62356175831005,223866.1439813953,2.40006841422405,2.40006841422405,0.0499887646836889,0.5064214857181767,0.48350203754724475,0.072111653242117,0.06581159697187587,0.0031050638462653104,-0.0059464421883026,-0.00541491448293999,-0.0927952462758577,-0.08534314916114225,-0.0010650040626027,-0.004336368112753214,-0.0927952462758577
2.496,0.0,0.0,0.0,19.988931776445074,2.5,0.0,20.0,2.798598214688046,2.8,3.310110749334256,104.31,101191.0,289.41,1.2180659507882503,243.34362824262425,223736.3857873665,2.798598214688046,2.798598214688046,0.0660327204709162,0.5041475254977595,0.47927254684481185,0.0880717207641083,0.0811623181810493,0.0031265972606789216,-0.0054973492986371,-0.004953248348536794,-0.0905674852888309,-0.08281512522006114,-0.0009435159086616,-0.004199601804122409,-0.0905674852888309
2.496,0.0,0.0,0.0,20.00825165955574,2.5,0.0,20.0,2.0009308151026115,2.0,3.310110749334256,104.52,101192.0,289.39,1.218162170535493,243.83351276965868,223982.337972026,2.0009308151026115,2.0009308151026115,0.0202225460701507,0.5097470200378204,0.4874731404664926,0.0424621308940779,0.036738970166193784,0.0042292110910250365,-0.0080545960062204,-0.007496328856203745,-0.1005455698610365,-0.0930882639100536,-0.0013633918642211,-0.004636126185239019,-0.1005455698610365
2.507,0.0,0.0,0.0,39.99243808047264,2.5,0.0,40.0,1.599716975777331,1.6,3.3096712884687585,416.01,101202.0,289.17999999999995,1.2191672579972812,974.9650714676034,448317.21003641264,1.599716975777331,1.5995869597682464,-0.0591862636389535,0.5310867593084247,0.5087286050759192,-0.0359902087690589,-0.040522445165152944,0.00829613120508132,-0.0090146810929893,-0.008443492160492703,-0.1239418404314958,-0.11614506774111741,-0.0015553856460878,-0.004826582770792651,-0.1239418404314958
2.503,0.0,0.0,0.0,39.99983251449172,2.5,0.0,40.0,2.4000191351021867,2.4,3.3056712884687585,415.81,101196.0,289.41,1.2181261372648535,974.4927490899582,447740.7929164204,2.4000191351021867,2.400311784673592,0.038075125903847,0.5171608864995387,0.49496093804285346,0.0607183487914234,0.05462569098650441,0.006558219233434271,-0.0053416043780853,-0.0048287843159320045,-0.1027313498218492,-0.09526286590325753,-0.0005853085671926,-0.0038715784263647223,-0.1027313498218492
2.503,0.0,0.0,0.0,39.994201580787575,2.5,0.0,40.0,2.7993437373512617,2.8,3.3056712884687585,415.59,101195.0,289.48,1.2178195442593014,973.9731987502936,447481.0876089892,2.7993437373512617,2.800140250009492,0.056926090834727,0.5143069684094561,0.4897531091154525,0.0794625614479741,0.07272457972241107,0.006261489285209287,-0.0042780030773463,-0.003764007329404825,-0.0975330119549075,-0.08971489390020794,-0.0003462006113609,-0.003618653127171169,-0.0975330119549075
2.503,0.0,0.0,0.0,39.998947184542295,2.5,0.0,40.0,2.00005296202351,2.0,3.3056712884687585,415.58,101193.0,289.54999999999995,1.2175010680190128,973.9495829321944,447333.2035533821,2.00005296202351,1.9998497665585069,0.0040223160041163,0.5217504823520099,0.4995423113260855,0.0268336461681774,0.021292172015184897,0.007411404018510486,-0.0068645638309428,-0.006327915592021666,-0.1103942578932872,-0.10281512119207119,-0.0010672893993147,-0.004346327576781053,-0.1103942578932872
4.995,0.0,0.0,0.0,39.99909029687908,5.0,0.0,40.0,1.599983067669266,1.6,6.156234303958799,416.28,101203.0,289.09,1.219558861881395,975.602712549633,448644.2087623428,1.599983067669266,1.599983067669266,-0.0944105547759178,0.8002718145673057,0.7789000528757951,-0.0248261239518525,-0.026220157303766818,0.005456953434558487,-0.0088830072297409,-0.00814994434072734,-0.2220692820308246,-0.21533151677758627,-0.0010804199215521,-0.004310050391055807,-0.2220692820308246
5.004,0.0,0.0,0.0,39.99574859958378,5.0,0.0,40.0,2.399774097228049,2.4,6.165234303958799,415.74,101196.0,289.4,1.2181682287001427,974.3274371323666,447722.5561010118,2.399774097228049,2.4000667169204317,0.004536164110528,0.7793802152162368,0.7583440679324724,0.0727952805664744,0.06983300204049708,0.0004849245082287141,-0.003700204515515,-0.0030504010856826427,-0.1918625280145295,-0.1856100210552473,-0.001178425208073,-0.0044064812655061425,-0.1918625280145295
