AoA,AoS,V,dE,dR,CL,CD,CYaw,CMroll,CMpitch,CMyaw,CD_modeloff,CYaw_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CYaw_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected
-5.002,0.0,19.99228278536329,-20,0,-0.5377683680599825,0.0867187002725302,0.0069603118467572,-0.0063782974525176,0.7080703876389017,-0.0042175595360968,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,0.0926187002725302,0.0108103118467572,-0.5141183680599826,-0.0079782974525175,0.7095203876389017,-0.0015175595360969
-0.006,0.0,19.997112451358447,-20,0,0.0283022883907043,0.0661079825390571,0.011094229642431001,-0.005052745636865899,0.5241063178004562,-0.0060553830898991,0.0078,-0.00075,0.01705,-0.0005,-0.00635,0.0035,True,0.0739079825390571,0.010344229642431,0.0453522883907043,-0.0055527456368659,0.5177563178004563,-0.0025553830898991
2.5,0.0,19.996996905504695,-20,0,0.3131526257802618,0.065944635922116,0.0118090926424418,-0.0047355172104128,0.4388376508770099,-0.0061821481398543,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.073994635922116,0.0103287354995847,0.3259573415425357,-0.0051688505437461,0.43195015087701,-0.0028321481398543
5.0,0.0,19.99476926034907,-20,0,0.5898229444560309,0.07221636275002599,0.011171813826100399,-0.0036358430185508004,0.338413138812381,-0.0061127857537692995,0.0078,-0.00175,0.0068499999999999,-0.0006,-0.00465,0.0033,True,0.080016362750026,0.0094218138261004,0.5966729444560308,-0.0042358430185508,0.333763138812381,-0.0028127857537693
6.0,0.0,19.995591783280744,-20,0,0.6914185432092818,0.0768132191934968,0.013486573848561601,-0.0040109294290156,0.29709505266186376,-0.0063839018179781,0.0072,-0.00425,0.00545,0.0,-0.00375,0.0035,True,0.0840132191934968,0.0092365738485616,0.6968685432092817,-0.0040109294290156,0.2933450526618638,-0.0028839018179781
7.0,0.0,19.99172354722761,-20,0,0.7775448615073679,0.08336348394120899,0.0143156422819559,-0.0046043429033818,0.2617807056462308,-0.0067807923923201,0.006,-0.00445,0.00695,0.0006,-0.0020499999999999,0.0036,True,0.089363483941209,0.0098656422819559,0.7844948615073679,-0.0040043429033818,0.2597307056462309,-0.0031807923923201
8.0,0.0,19.995711177240747,-20,0,0.8473473243200036,0.0924787262224466,0.0148460303740416,-0.0047488397040117,0.2194065948117226,-0.006850147632427099,0.0043999999999999,-0.00565,0.00755,0.0009,-4.99999999999997e-05,0.0038,True,0.0968787262224465,0.0091960303740416,0.8548973243200035,-0.0038488397040117,0.2193565948117226,-0.0030501476324271
9.0,0.0,19.992429897200942,-20,0,0.9123062438880568,0.1010274643767579,0.0159842627281473,-0.0047008177042895,0.16345192968909708,-0.0075745458603015,0.0074,-0.00675,-0.00815,0.0009,-0.00085,0.0039,True,0.1084274643767579,0.0092342627281473,0.9041562438880568,-0.0038008177042895,0.1626019296890971,-0.0036745458603015
10.0,0.0,19.993602925753287,-20,0,0.959296509812335,0.11174314002998599,0.014675362289763301,-0.0048801423954584,0.11930478205817839,-0.0068564471608528,0.0093,-0.00585,-0.00905,0.0015,-0.00345,0.0033,True,0.121043140029986,0.0088253622897633,0.950246509812335,-0.0033801423954584,0.1158547820581784,-0.0035564471608528
11.0,0.0,19.98549473832435,-20,0,0.9983437798616966,0.1253961354829865,0.013526751882687,-0.0047794061271751,0.067411322900085,-0.0059746370118126,0.0084,-0.00575,0.00605,0.0016,-0.00095,0.0031,True,0.1337961354829865,0.007776751882687,1.0043937798616966,-0.0031794061271751,0.066461322900085,-0.0028746370118126
12.0,0.0,19.99170929685433,-20,0,1.0529360268376102,0.14308261131194772,0.0130731925301456,-0.0046978725471948,0.0167195088814998,-0.005497830272199401,0.0089,-0.00585,0.01775,0.0021,-0.0015499999999999,0.0028999999999999,True,0.1519826113119477,0.0072231925301456,1.0706860268376102,-0.0025978725471948,0.0151695088814999,-0.0025978302721995
13.0,0.0,19.989815649497096,-20,0,1.079707406686617,0.15924493156847128,0.013526726855766301,-0.0055860478290489,-0.036678876158597606,-0.0055180408070638,0.0118999999999999,-0.00565,0.0302499999999999,0.0026,-0.0082499999999999,0.0025999999999999,True,0.1711449315684712,0.0078767268557663,1.109957406686617,-0.0029860478290489,-0.0449288761585975,-0.0029180408070639
14.0,0.0,19.992727306576583,-20,0,1.0617235383973704,0.1923430147777056,0.015986966119248,-0.0032941930930168997,-0.15593277466884428,-0.0035437134293275,0.0109,-0.0059499999999999,0.03425,0.0031,-0.0010499999999999,0.0026999999999999,True,0.2032430147777056,0.0100369661192481,1.0959735383973706,-0.0001941930930169,-0.1569827746688442,-0.0008437134293276
0.005,0.0,19.992357439954088,-20,0,0.0293331552146897,0.0667716193612017,0.0116420506058906,-0.005837889828882,0.529817002452284,-0.0061596688897047995,0.0078,-0.00075,0.01705,-0.0005,-0.00635,0.0035,True,0.0745716193612017,0.0108920506058906,0.0463831552146897,-0.006337889828882,0.5234670024522841,-0.0026596688897048
0.001,0.0,40.00142456105253,-15,0,0.0835374844102337,0.052821637874202,0.0127657615668696,-0.0050936329996138004,0.41198518437749254,-0.0067408576789683,0.0078,-0.00075,0.01705,-0.0005,-0.00635,0.0035,True,0.060621637874202,0.0120157615668696,0.1005874844102337,-0.0055936329996138,0.4056351843774925,-0.0032408576789683
-2.5,0.0,39.991653689145096,-15,0,-0.2083491408481124,0.05886642428052619,0.009366288695084601,-0.0053848351013303,0.502394842255282,-0.0061421203737999,0.0071,0.0027332293832293,0.0189831944444444,-0.0009258928571428,-0.003317027027027,0.00326125,True,0.0659664242805262,0.0120995180783139,-0.189365946403668,-0.0063107279584731,0.499077815228255,-0.0028808703737999
-5.002,0.0,39.984496700982135,-15,0,-0.5029850111738273,0.07186178895628939,0.00642907641004,-0.004649356222666,0.5939305516640948,-0.004935452320515,0.0059,0.00385,0.02365,-0.0015999999999999,0.00145,0.0026999999999999,True,0.0777617889562894,0.01027907641004,-0.4793350111738274,-0.0062493562226659,0.5953805516640948,-0.0022354523205151
-0.005,0.0,40.00392276520557,-15,0,0.08080636956132621,0.0528123749072439,0.012993127186418601,-0.0050651726069143,0.41173871880827,-0.006687856297228,0.0078,-0.00075,0.01705,-0.0005,-0.00635,0.0035,True,0.0606123749072439,0.0122431271864186,0.0978563695613262,-0.0055651726069143,0.40538871880827,-0.003187856297228
2.5,0.0,39.980424193549446,-15,0,0.36320632698385613,0.0539745216737458,0.0111988422312702,-0.003915955299811399,0.3254802098699427,-0.0064790272446446,0.00805,-0.0014803571428571,0.0128047157622739,-0.0004333333333333,-0.0068874999999999,0.00335,True,0.0620245216737458,0.0097184850884131,0.37601104274613,-0.0043492886331447,0.3185927098699428,-0.0031290272446446
