AoA,AoS,V,V_solid_blockage_corr,dE,dR,CL,CL_solid_blockage_corr,CD,CD_solid_blockage_corr,CYaw,CYaw_solid_blockage_corr,CMroll,CMroll_solid_blockage_corr,CMpitch,CMpitch_solid_blockage_corr,CMyaw,CMyaw_solid_blockage_corr,CD_modeloff,CY_modeloff,CL_modeloff,CMroll_modeloff,CMpitch_modeloff,CMyaw_modeloff,modeloff_correction_found,CD_uncorrected,CL_uncorrected,CMroll_uncorrected,CMpitch_uncorrected,CMyaw_uncorrected,solid_blockage_e,V_round,AoA_round,AoS_round,CL2,fit_used,CD0_fit,k_fit,R2_fit,CD_fit_pred,CDi_fit
13.0,-10.0,19.99433030435617,19.850820031687924,-15,0,1.1140363859160687,1.0981016778843473,0.1684129445501307,0.16600403660592378,-0.0845947755422537,-0.08338476744349096,0.0070909537064094,0.006989527686212428,-0.2169035479377712,-0.21380105079214093,0.0202205891873093,0.01993136238197098,0.032,-0.01525,0.03045,0.0091,-0.0419499999999999,0.0067,True,0.2004129445501307,1.1444863859160688,0.0161909537064094,-0.2588535479377711,0.0269205891873093,0.007229438,20.0,13.0,-10.0,1.205827294972419,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.14231492161464776,0.07846012924465247
14.0,-10.0,19.996781194725607,19.853253330673212,-15,0,1.1461688460702597,1.129774528839619,0.1882108150546887,0.18551872669543584,-0.0813318190225241,-0.08016848288180457,0.001967302221994401,0.0019391627582264741,-0.2671323994870994,-0.2633114499692434,0.0189796548227566,0.018708177820778084,0.031,-0.01555,0.03445,0.0096,-0.0347499999999999,0.0068,True,0.2192108150546887,1.1806188460702598,0.0115673022219944,-0.3018823994870993,0.0257796548227566,0.007229438,20.0,14.0,-10.0,1.2763904860147832,True,0.06385479236999529,0.06506746826165276,0.7318048523795788,0.14690628980823772,0.08305149743824244
0.002,-10.0,19.995018438619876,19.851503226834676,-10,-20,0.1498485203175845,0.14770515009159077,0.0897808292863618,0.08849664205548641,-0.1902586010312662,-0.18753722200246187,0.0391672976551738,0.03860706509866398,0.2257533993448247,0.22252431764587255,0.053449672859558,0.052685151213608596,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1176808292863617,0.1670985203175844,0.0451672976551738,0.1857033993448248,0.061049672859558,0.007229438,20.0,0.0,-10.0,0.021816811363579356,True,0.08001186418192464,0.05570409105862664,0.8149001805200577,0.08122714982873035,0.001215285646805705
0.005,-10.0,20.00891849149148,19.8653035114046,-10,-20,0.14929656545172298,0.14716109015604337,0.0898352286214508,0.08855026328536024,-0.1902715007983886,-0.18754993725673944,0.0391834116380795,0.038622948593933844,0.22606970421486508,0.22283609822405243,0.053563744060344094,0.05279759078790355,0.0278999999999999,-0.01035,0.0172499999999999,0.006,-0.0400499999999999,0.0076,True,0.1177352286214507,0.1665465654517229,0.0451834116380795,0.1860197042148652,0.0611637440603441,0.007229438,20.0,0.0,-10.0,0.021656386455915125,True,0.08001186418192464,0.05570409105862664,0.8149001805200577,0.08121821350506575,0.0012063493231411048
2.492,-10.0,19.991919209860885,19.84842624293998,-10,-20,0.4284393363612517,0.42231112024503653,0.0915536273430977,0.09024408275424871,-0.1906004054602062,-0.18787413740457296,0.039526000817164696,0.03896063752145404,0.1316384530351301,0.12975555195453625,0.056174329090352096,0.05537083510734674,0.0281499999999999,-0.0110803571428571,0.0130047157622739,0.0060666666666666,-0.0405875,0.00745,True,0.1197036273430976,0.4414440521235256,0.0455926674838313,0.0910509530351301,0.0636243290903521,0.007229438,20.0,2.5,-10.0,0.1783466822826177,True,0.08001186418192464,0.05570409105862664,0.8149001805200577,0.08994650401179953,0.009934639829874891
5.0,-10.0,19.983005958181973,19.839576966556027,-10,-20,0.6964193197868341,0.6864580306685008,0.0991710353445506,0.09775253455463297,-0.1880326551602781,-0.18534311512524185,0.0394348160524338,0.03887075702525629,0.047303608282521496,0.046626997359971535,0.0574537017859119,0.056631908193822654,0.0278999999999999,-0.0113499999999999,0.00705,0.0059,-0.0383499999999999,0.0074,True,0.1270710353445505,0.7034693197868341,0.0453348160524338,0.0089536082825216,0.0648537017859119,0.007229438,20.0,5.0,-10.0,0.4712246278692763,True,0.08001186418192464,0.05570409105862664,0.8149001805200577,0.10626100376182226,0.02624913957989762
7.0,-10.0,19.98800850464144,19.844543606996364,-10,-20,0.8793349720778255,0.8667573343818898,0.1090314709046348,0.10747193059060293,-0.1787583091972506,-0.17620142550717252,0.036411331570197596,0.03589051919373271,-0.004806575415900904,-0.004737824182231055,0.054935349034916495,0.05414957690165509,0.0260999999999999,-0.01405,0.00715,0.0071,-0.03575,0.0077,True,0.1351314709046347,0.8864849720778255,0.0435113315701976,-0.0405565754159009,0.0626353490349165,0.007229438,20.0,7.0,-10.0,0.7512682767047992,True,0.08001186418192464,0.05570409105862664,0.8149001805200577,0.1218605806769463,0.04184871649502165
8.0,-10.0,19.99438648402602,19.850875808125476,-10,-20,0.9645547159766104,0.9507581308973281,0.11796362181678981,0.11627631977192056,-0.1773883774203038,-0.1748510886583313,0.036745441954846206,0.03621985060392677,-0.048253633656987906,-0.047563433970950295,0.05530922622289129,0.05451810630754178,0.0244999999999999,-0.01525,0.00775,0.0074,-0.0337499999999999,0.0079,True,0.1424636218167897,0.9723047159766104,0.0441454419548462,-0.0820036336569878,0.0632092262228913,0.007229438,20.0,8.0,-10.0,0.9039410234673808,True,0.08001186418192464,0.05570409105862664,0.8149001805200577,0.13036507726477978,0.05035321308285514
10.0,-10.0,19.989449226446386,19.84597398795088,-10,-20,1.0711867441318135,1.0558649393586643,0.1425420667984922,0.14050320501140223,-0.158671856381952,-0.15640228086694893,0.029902874450049,0.029475156307540638,-0.1980262744340243,-0.19519378987103495,0.0517517555588083,0.0510115202079849,0.0293999999999999,-0.0154499999999999,-0.0088499999999999,0.008,-0.0371499999999999,0.0074,True,0.1719420667984921,1.0623367441318137,0.037902874450049,-0.2351762744340242,0.0591517555588083,0.007229438,20.0,10.0,-10.0,1.114850770166876,True,0.08001186418192464,0.05570409105862664,0.8149001805200577,0.14211361300008035,0.0621017488181557
12.0,-10.0,19.98816824027108,19.844702196115797,-10,-20,1.1218988885037409,1.1058517185410475,0.1743234575359957,0.1718300080993042,-0.143251022187727,-0.1412020198008525,0.0215858205765081,0.021277066075434118,-0.3103863565790358,-0.3059467206464539,0.0474972761099655,0.04681789504424565,0.0289999999999999,-0.0154499999999999,0.01795,0.0086,-0.03525,0.007,True,0.2033234575359956,1.1398488885037408,0.0301858205765081,-0.3456363565790358,0.0544972761099655,0.007229438,20.0,12.0,-10.0,1.2229080234001881,True,0.08001186418192464,0.05570409105862664,0.8149001805200577,0.14813284407373384,0.0681209798918092
