Run_nr,Time,Alpha,Beta,Delta_Pb,P_bar,T,B1,B2,B3,B4,B5,B6,rpm,Rho,Q,V,Re,nrotor1,nrotor2,I1,I2,dptq,Extra1,Extra2,Extra3,Extra4,Extra5,Extra6,Extra7,Extra8,Extra9,Extra10,source_file,file_type,rudder_setting
30,08:12:03,2.496,10.0,104.35,1011.89,16.08,275.9,-946.0,-97.8,526.8,108.5,479.3,0.0,1.219,243.4,20.0,223967,49.21,49.21,0.61,0.57,0.0,19.246,19.051,45.458,44.008,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_0_elevator_0.txt,raw,0
5,17:27:28,2.496,8.0,413.6,1011.03,17.44,316.8,-4388.7,-237.1,2112.7,-48.2,2249.3,0.0,1.212,969.3,40.0,444044,98.44,98.43,6.69,5.99,0.0,20.627,20.687,28.738,28.8,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m5_elevator_0.txt,raw,-5
6,17:28:04,2.496,9.995,413.18,1011.03,17.54,139.5,-5411.7,-530.7,2494.5,-212.4,2729.6,0.0,1.212,968.3,40.0,443629,98.43,98.43,7.47,5.58,0.0,20.581,20.759,28.844,28.75,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m5_elevator_0.txt,raw,-5
7,17:28:49,2.496,0.0,413.42,1011.02,17.62,633.9,505.2,985.7,680.5,249.8,-408.5,0.0,1.211,968.9,40.0,443603,98.43,98.43,6.58,6.93,0.0,20.695,20.891,28.512,28.858,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m5_elevator_0.txt,raw,-5
8,17:29:34,2.496,4.0,413.08,1011.04,17.68,627.8,-1835.1,382.4,1291.8,234.1,937.5,0.0,1.211,968.0,40.0,443309,98.44,98.43,6.62,6.84,0.0,20.888,21.001,28.637,28.774,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m5_elevator_0.txt,raw,-5
1,12:48:53,-4.996,0.0,414.34,1011.7,17.3,-619.2,925.6,-346.6,-912.5,45.0,-701.9,0.0,1.213,971.0,40.0,444868,123.02,123.03,17.46,17.61,0.0,19.691,20.772,34.09,33.511,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
2,12:49:35,2.496,0.0,413.86,1011.66,17.39,-771.0,962.8,1381.8,789.4,-903.6,-719.9,0.0,1.213,969.9,40.0,444419,123.03,123.03,17.58,17.93,0.0,21.089,22.581,34.074,33.579,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
3,12:50:06,5.0,0.0,413.63,1011.64,17.39,-491.3,1047.4,1891.8,1217.9,-920.9,-726.5,0.0,1.213,969.3,40.0,444306,123.03,123.04,18.03,17.84,0.0,22.172,23.819,34.14,33.543,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
4,12:50:33,7.0,0.0,414.06,1011.63,17.38,-141.4,1127.5,2249.5,1517.9,-865.5,-747.6,0.0,1.213,970.4,40.0,444551,123.03,123.02,17.53,17.67,0.0,23.143,24.81,33.986,33.596,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
5,12:51:18,7.0,0.0,413.96,1011.66,17.38,2015.5,1043.1,1781.3,1170.6,937.9,-713.9,0.0,1.213,970.1,40.0,444503,82.02,82.03,1.08,1.11,0.0,24.435,25.753,31.534,30.336,0.0,0.0,0.0,0.0,0.0,0.0,raw_rudder_m10_elevator_0.txt,raw,-10
