V_round,AoS_round,dE,dR,fit_used,CD0_fit,k_fit,R2_fit
30.0,-4.0,10,-20,True,0.059449604249773524,0.06093172417905407,0.8974125329812812
30.0,-4.0,10,-10,True,0.052081732091153,0.06205587326954809,0.9013389099561816
30.0,-4.0,10,0,True,0.04930126531778131,0.06276823610535312,0.9038330999761885
30.0,-4.0,10,10,True,0.049099848080651834,0.06250695530033222,0.9047198818904842
30.0,-4.0,10,20,True,0.05364996583503357,0.06189659721829351,0.905790139898748
30.0,0.0,-20,0,True,0.05995976108656066,0.07070848658624636,0.8450734522739914
30.0,0.0,-10,-20,True,0.05850909008700742,0.05981502026110116,0.8615816098340533
30.0,0.0,-10,-10,True,0.05104453822348707,0.06013665922945107,0.8606191378401615
30.0,0.0,-10,0,True,0.048770702179565015,0.06901803335096048,0.8585326718741202
30.0,0.0,-10,10,True,0.05106372008487443,0.06020750598663383,0.861517156012016
30.0,0.0,-10,20,True,0.05847134288777543,0.05962656145085199,0.861981290093381
30.0,0.0,-5,0,True,0.04607735626828723,0.07156791928112163,0.8775765158839463
30.0,0.0,0,-20,True,0.05077708914507699,0.06173838277265926,0.8804635798769722
30.0,0.0,0,-10,True,0.046502074147108025,0.061982846482941924,0.880977521366698
30.0,0.0,0,0,True,0.04347650096877554,0.06957319248179264,0.8824180308094853
30.0,0.0,0,10,True,0.045892522012963836,0.06208828130093207,0.8808445922041683
30.0,0.0,0,20,True,0.0533895969595292,0.06159260114127602,0.885495075508882
30.0,0.0,10,-20,True,0.051524425613528047,0.06252900658920628,0.9005708968809091
30.0,0.0,10,-10,True,0.04534435625578451,0.06348401067801271,0.9020978569364947
30.0,0.0,10,0,True,0.04313153752900855,0.07045333518847412,0.8984383282363689
30.0,0.0,10,10,True,0.0459732679870641,0.0632329516889581,0.9018291476815855
30.0,0.0,10,20,True,0.051779453262560324,0.06250055249093443,0.9001409944964085
30.0,0.0,20,0,True,0.04951026644013164,0.07181928096962463,0.9102559243865478
30.0,4.0,-10,-20,True,0.060383891069292796,0.05673136495234005,0.8663247044919469
30.0,4.0,-10,-10,True,0.05400280612574099,0.05775029015587727,0.8702729645236613
30.0,4.0,-10,0,True,0.05421577290861147,0.05814775993995505,0.8697861317092923
30.0,4.0,-10,10,True,0.05836458326476435,0.05685587650886365,0.8640961969723866
30.0,4.0,-10,20,True,0.06738786494269622,0.05525902909922663,0.8644257026575737
30.0,4.0,0,-20,True,0.0523359125624854,0.059724270689102375,0.8906943852747651
30.0,4.0,0,-10,True,0.05000723967461648,0.05974843779781039,0.8896359725262607
30.0,4.0,0,0,True,0.049555003082038196,0.06015948186085737,0.8909045316204499
30.0,4.0,0,10,True,0.05338300000250855,0.05896543068793757,0.8849872381381328
30.0,4.0,0,20,True,0.062290368163617,0.05729642652941597,0.8853946761800935
30.0,4.0,10,-20,True,0.05280893721495451,0.06067121307708124,0.9051071901960968
30.0,4.0,10,-10,True,0.049421015279822074,0.0610817672558511,0.9028743637369445
30.0,4.0,10,0,True,0.0500025813676356,0.06122654246178793,0.9025260944753914
30.0,4.0,10,10,True,0.05398896463978842,0.06006831607430837,0.899704916317157
30.0,4.0,10,20,True,0.060706214611133666,0.059267877539520314,0.8989377007071518
30.0,5.0,-20,0,True,0.06622965939132683,0.06497960036819667,0.8291656690470802
30.0,5.0,-10,0,True,0.055787203390369175,0.06634989596959769,0.8560976290768014
30.0,5.0,0,0,True,0.05119914967708221,0.06755491673809982,0.8833654972950802
30.0,5.0,10,0,True,0.050893889890308686,0.06882022383944936,0.896279141836545
30.0,5.0,20,0,True,0.056970182725265585,0.06795516028865536,0.9044780271105437
30.0,7.0,0,10,True,0.059440023298415405,0.05490245507055202,0.8756936647831883
30.0,8.0,-10,-20,True,0.06399133228551393,0.05247967848950395,0.852182764473739
30.0,8.0,-10,-10,True,0.059441834352021314,0.05335155432263006,0.8593810332576025
30.0,8.0,-10,0,True,0.061766056765661076,0.05300613627662884,0.8537475720962608
30.0,8.0,-10,10,True,0.06787768223283229,0.05209714019916959,0.8497265157280274
30.0,8.0,-10,20,True,0.07862838740062204,0.05043282766931344,0.8561344668876586
30.0,8.0,0,-20,True,0.056044924459590084,0.05539984260544218,0.8751631563151635
30.0,8.0,0,-10,True,0.05536125225497642,0.05546051937686927,0.8763950904945147
30.0,8.0,0,0,True,0.05738283173828384,0.05481317602652741,0.8783557744764606
30.0,8.0,0,10,True,0.06282672814751898,0.05393673486213017,0.8723060857548959
30.0,8.0,0,20,True,0.07316875618813341,0.052866797983900884,0.8752824196601674
30.0,8.0,10,-20,True,0.05630386734756615,0.056516804970483295,0.8949050152091278
30.0,8.0,10,-10,True,0.054824986229697205,0.05687448085793625,0.8942943202861835
30.0,8.0,10,0,True,0.057658548420245405,0.05633416540936186,0.8916892385388437
30.0,8.0,10,10,True,0.06333250443918803,0.05550950263298845,0.8922883767849613
30.0,8.0,10,20,True,0.07136922575122288,0.05462397376469946,0.8962236379914081
30.0,10.0,-20,0,True,0.0942585016993915,0.054874459837730524,0.7786040094227259
30.0,10.0,-10,-20,True,0.06924858906729653,0.05113939898714311,0.8522745908817264
30.0,10.0,-10,-10,True,0.06570551878475724,0.05216832862621891,0.853206293768526
30.0,10.0,-10,0,True,0.0789153922359908,0.05661191215940721,0.7789453366491716
30.0,10.0,-10,10,True,0.0776130208141206,0.050689606815648866,0.8548625364157103
30.0,10.0,-10,20,True,0.09047809588367929,0.04839094486389849,0.8598128511783694
30.0,10.0,0,-20,True,0.06148136201549598,0.05421161414349362,0.8741173039545402
30.0,10.0,0,-10,True,0.06137803984157435,0.05465114367955687,0.8751954811943368
30.0,10.0,0,0,True,0.073593638917645,0.05866588162205251,0.8167752921892596
30.0,10.0,0,10,True,0.07191393261059285,0.05298472198596438,0.8754017984598079
30.0,10.0,0,20,True,0.08400453374001572,0.05180909284908525,0.8813578485778931
30.0,10.0,5,0,True,0.07928301961584615,0.05954586204904228,0.8578907868753027
30.0,10.0,10,-20,True,0.0614367726405969,0.05553900999200039,0.8944800343384564
30.0,10.0,10,-10,True,0.060976819209396654,0.055932377933820325,0.891999696691987
30.0,10.0,10,0,True,0.07152738516003408,0.05941963432316222,0.8532482319198742
30.0,10.0,10,10,True,0.07217409164729081,0.05503421460168954,0.8979181258628265
30.0,10.0,10,20,True,0.08168212402374177,0.05395769161164479,0.9015039715384691
30.0,10.0,20,0,True,0.08438105114982948,0.06076582586442557,0.8795161018328618
39.5,-10.0,-20,0,True,0.09127487123544187,0.05415054534008568,0.7144001657785657
39.5,-10.0,-15,0,True,0.08523591645494583,0.05610083703286246,0.7455929835354155
39.5,-10.0,-10,-20,True,0.08715025350535952,0.04845556001739415,0.8659036636281261
39.5,-10.0,-10,-10,True,0.07500223938702484,0.05021701859812468,0.8647592388212245
39.5,-10.0,-10,0,True,0.0759436160960098,0.056364571333660164,0.737929131845648
39.5,-10.0,-10,10,True,0.06445405910488816,0.05096383284479966,0.8612107588144863
39.5,-10.0,-10,20,True,0.06647729911449202,0.05068828834068519,0.8649405901341808
39.5,-10.0,-5,0,True,0.07755757856346025,0.058857007359143204,0.7844200368228812
39.5,-10.0,0,-20,True,0.07800262442056868,0.052056764503710114,0.8800489173960739
39.5,-10.0,0,-10,True,0.06962315244463733,0.05482848658429537,0.8822829050028915
39.5,-10.0,0,0,True,0.07084150638979042,0.05878269280656356,0.7904879965780838
39.5,-10.0,0,10,True,0.05980534757173772,0.05379906960121782,0.8830728648381538
39.5,-10.0,0,20,True,0.06146575024954579,0.05330715454546069,0.8859416378972846
39.5,-10.0,5,0,True,0.07471303189015684,0.060519218814655926,0.8190576746880099
39.5,-10.0,10,-20,True,0.07884009834861103,0.05485504956231409,0.9004772869303214
39.5,-10.0,10,-10,True,0.06824828248042987,0.05589667359675995,0.9061231138694423
39.5,-10.0,10,0,True,0.07021812370709209,0.06051740775764175,0.8224253607689013
39.5,-10.0,10,10,True,0.05859023326661259,0.05745811562670029,0.9005192506607007
39.5,-10.0,10,20,True,0.0586167631368361,0.0577120398067916,0.9047734460428879
39.5,-10.0,15,0,True,0.07627658184636672,0.062304356606241174,0.8417135556481263
39.5,-10.0,20,0,True,0.08026444335524861,0.06248478116225419,0.8527785555503145
