V_round,AoS_round,aoa_min_fit,aoa_max_fit,n_points,n_unique_aoa,cl_alpha_slope_per_deg,cl_at_aoa0,r2,fit_success
30,8.0,-4.0,8.0,15,15,0.08910911666073658,0.2951875467701731,1.0,True
30,9.0,-4.0,8.0,15,15,0.0894072101797903,0.29810580475229126,1.0,True
30,10.0,-4.0,8.0,15,15,0.08939985604575612,0.2990914753219019,1.0,True
40,-10.0,-4.0,8.0,15,15,0.08561691808571587,0.2996896191655285,0.9984047221611391,True
40,-9.0,-4.0,8.0,15,15,0.08559624418230714,0.29722393783457185,0.9984279477182415,True
40,-8.0,-4.0,8.0,15,15,0.08476252324751007,0.2948167752782809,0.9983438515799992,True
40,-7.0,-4.0,8.0,15,15,0.08347826259762708,0.2884291954178994,0.9961038540131278,True
40,-6.0,-4.0,8.0,15,15,0.08377293183837546,0.282417421148044,0.9956949268641277,True
40,-5.0,-4.0,8.0,15,15,0.08418798064378497,0.2773198618023541,0.9954742806985857,True
40,-4.0,-4.0,8.0,15,15,0.08395258843079031,0.27813455032421014,0.9951210925746873,True
40,-3.0,-4.0,8.0,15,15,0.08383466342801647,0.27454841079691805,0.994822047671971,True
40,-2.0,-4.0,8.0,15,15,0.08381031391205641,0.27503198002591456,0.9946330006652235,True
40,-1.0,-4.0,8.0,15,15,0.08357849306196238,0.2742486252932323,0.994400127517503,True
40,0.0,-4.0,8.0,15,15,0.08495316197178375,0.2685277779256542,0.9922554246044636,True
40,1.0,-4.0,8.0,15,15,0.08329631383824558,0.2741596327050837,0.9942552049101908,True
40,2.0,-4.0,8.0,15,15,0.08355663281579181,0.2743824331592764,0.9941796123311601,True
40,3.0,-4.0,8.0,15,15,0.08365751347445807,0.27382751677313577,0.9941752539517585,True
40,4.0,-4.0,8.0,15,15,0.08379019089720198,0.27695971747624937,0.9946642169890326,True
40,5.0,-4.0,8.0,15,15,0.0841260594104017,0.2740847287030293,0.9951216491760387,True
40,6.0,-4.0,8.0,15,15,0.08410325935665723,0.2838098741009346,0.9967569772156419,True
40,7.0,-4.0,8.0,15,15,0.08461577466544305,0.2910778004277106,0.9976974296778978,True
40,8.0,-4.0,8.0,15,15,0.08577037217243956,0.29508808175872764,0.9984657311395057,True
40,9.0,-4.0,8.0,15,15,0.08618954334348815,0.2981230207717018,0.9984811388140208,True
40,10.0,-4.0,8.0,15,15,0.0863014362817341,0.2998971907608167,0.9985301801307866,True
50,-10.0,-4.0,8.0,15,15,0.08912551690264953,0.30464697310373307,1.0,True
50,-9.0,-4.0,8.0,15,15,0.0889467689484454,0.30339149877876115,1.0,True
50,-8.0,-4.0,8.0,15,15,0.08809214588412703,0.3002908024736997,1.0,True
50,-7.0,-4.0,8.0,15,15,0.08840924432558983,0.29318309185017477,1.0,True
50,-6.0,-4.0,8.0,15,15,0.08845255445260239,0.28921100622881724,1.0,True
50,-5.0,-4.0,8.0,15,15,0.08967871033317305,0.28427159223499787,1.0,True
50,-4.0,-4.0,8.0,15,15,0.08964907519471733,0.2851449355492216,1.0,True
50,-3.0,-4.0,8.0,15,15,0.08962782020670243,0.28114302051722173,1.0,True
50,-2.0,-4.0,8.0,15,15,0.08948280304865004,0.2829686287430196,1.0,True
50,-1.0,-4.0,8.0,15,15,0.08955075747047456,0.2825181443597471,1.0,True
50,0.0,-4.0,8.0,15,15,0.09124738807431514,0.2745805475074234,0.9996099290869916,True
50,1.0,-4.0,8.0,15,15,0.08953604163746146,0.28055759865309865,1.0,True
50,2.0,-4.0,8.0,15,15,0.08971124218303811,0.28109087024561596,1.0,True
50,3.0,-4.0,8.0,15,15,0.08974906914943327,0.28099589395605784,1.0,True
50,4.0,-4.0,8.0,15,15,0.08973587612528743,0.2847048692880234,1.0,True
50,5.0,-4.0,8.0,15,15,0.08988502256346872,0.2810458937713104,1.0,True
50,6.0,-4.0,8.0,15,15,0.08883754789241957,0.28886656356392526,1.0,True
50,7.0,-4.0,8.0,15,15,0.08842721241093644,0.29759688865651307,1.0,True
50,8.0,-4.0,8.0,15,15,0.08892051058188796,0.3013981817850859,1.0,True
50,9.0,-4.0,8.0,15,15,0.08925559916406538,0.30566434271759363,1.0,True
50,10.0,-4.0,8.0,15,15,0.08935806279813521,0.30701997442754986,1.0,True
