V_round,AoA_round,AoS_round,case_available,source_type,CL_solid_blockage_corr,CD_solid_blockage_corr,CY_solid_blockage_corr,CMroll_solid_blockage_corr,CMpitch_solid_blockage_corr,CMyaw_solid_blockage_corr
20,-4.0,9.0,False,extrap_alpha,-0.04940346878955082,0.05622098375839278,-0.023527122597044082,-0.00045935508709370556,-0.25515843366917906,0.024669554919735815
20,-4.0,10.0,False,extrap_alpha,-0.043973883475509234,0.05725097002090744,-0.006832795640905535,-0.007635169743569833,-0.25217395070012144,0.022124235938017895
20,-3.0,-10.0,False,extrap_alpha,0.034066070701413986,0.037877782765585864,-0.023946900271384488,0.005288333077546519,-0.18902586172598232,-0.014306535497444229
20,-3.0,-9.0,False,extrap_alpha,0.03506510855220235,0.04513785146322441,0.0413427197727694,-0.011729247479245872,-0.21956228816048734,-0.03037347627537085
20,-3.0,-8.0,False,extrap_alpha,0.03540531881562403,0.044352395519107954,0.04823802222655568,-0.015518734055088811,-0.21428772606452615,-0.030266382085878174
20,-3.0,-7.0,False,extrap_alpha,0.03596236940965669,0.04380700979005778,0.05091249868596069,-0.017457541682904542,-0.21115441877300128,-0.02893596287193543
20,-3.0,-6.0,False,extrap_alpha,0.032654376128872675,0.04330818598102296,0.05395215153304885,-0.019707352389513454,-0.20825488057403924,-0.027516693396066823
20,-3.0,-5.0,False,extrap_alpha,0.01979909878695163,0.040328128919237954,0.02492302085538971,-0.004732025944095202,-0.19305925439985516,-0.01738931932947716
20,-3.0,-4.0,False,extrap_alpha,0.01955223263466077,0.03835176157888763,0.019508977574266007,-0.0034693365764050803,-0.18398465062416547,-0.014094820102680256
20,-3.0,-3.0,False,extrap_alpha,0.016177094932397384,0.03210537543794457,-0.018672347237421363,0.0070103817466516125,-0.1710933397981766,-0.004137086703904068
20,-3.0,-2.0,False,extrap_alpha,0.015652948829371405,0.03263810961640709,-0.0038520250603833353,0.0015822025808061421,-0.1770526420175736,-0.0032427269801410235
20,-3.0,-1.0,False,extrap_alpha,0.012329513012079185,0.032838944272370635,0.004377179965570486,-0.00374750247612223,-0.17757420263831936,-0.003356603638100502
20,-3.0,0.0,True,measured,0.011263891994964694,0.04317711949305602,0.003528849208420585,-0.003915013913542726,-0.1806149783234697,-0.0034290040022952554
20,-3.0,1.0,False,extrap_alpha,0.016635258037897116,0.03314879782834649,0.024800429422445362,-0.010014737211054274,-0.17770833839843703,-0.0040872210551626065
20,-3.0,2.0,False,extrap_alpha,0.015943092650511304,0.03453795984981266,0.04016466950067987,-0.01634629786868065,-0.17696070953498572,-0.004591299028555175
20,-3.0,3.0,False,extrap_alpha,0.01493403034810159,0.03432441954322825,0.04847009000167128,-0.020260550149339033,-0.1748340427302286,-0.004841743319425775
20,-3.0,4.0,False,extrap_alpha,0.018427736963535946,0.03603094259045109,0.05126346462747464,-0.026404236602084574,-0.1753878944597283,-0.005759858684763625
20,-3.0,5.0,False,extrap_alpha,0.021403920566482548,0.045273062560834444,-0.0006635315980245453,-6.368512898017247e-05,-0.20754770918556392,0.01066385463871517
20,-3.0,6.0,False,extrap_alpha,0.030328654954231204,0.05153472041603199,-0.02071917672025023,0.006668362614181091,-0.22471432710435285,0.018351551285201793
20,-3.0,7.0,False,extrap_alpha,0.03523585244836336,0.05509640479277388,-0.029485843293925253,0.007807405063681605,-0.23193344022054163,0.022464445215712996
20,-3.0,8.0,False,extrap_alpha,0.036856053238472075,0.05724702566001419,-0.030339025612801777,0.004965384110202898,-0.2383413553716336,0.024464425822546803
20,-3.0,9.0,False,extrap_alpha,0.03926313077687882,0.0588980316613518,-0.024082271231219945,0.00011473435001516205,-0.24224652386553797,0.02478437951903631
20,-3.0,10.0,False,extrap_alpha,0.044143496041225916,0.05987787719287984,-0.007673281541044023,-0.006971473159468844,-0.23974083812761993,0.02223772839598676
20,-2.5,-10.0,False,extrap_alpha,0.07872573745199596,0.03912044668365849,-0.023854432931209993,0.005390453866156622,-0.1825666908324936,-0.014268003611340476
20,-2.5,-9.0,False,extrap_alpha,0.07939865999843193,0.046355987322628016,0.0413201290683472,-0.01161951606139153,-0.21271793382872217,-0.03035258454555048
20,-2.5,-8.0,False,extrap_alpha,0.07957841492771117,0.0455850941670084,0.048080292880430364,-0.015333092970623177,-0.20724629557024596,-0.030245408017120716
20,-2.5,-7.0,False,extrap_alpha,0.07965181961516313,0.04507921219567704,0.05065718793495179,-0.017228718120130396,-0.20376521259663088,-0.028908556243394286
20,-2.5,-6.0,False,extrap_alpha,0.07650014770664865,0.044613719031031535,0.053118032828302075,-0.019149897778606907,-0.20050694339126934,-0.02734408423017075
20,-2.5,-5.0,False,extrap_alpha,0.06407821042998424,0.041784419530049605,0.024999882202907442,-0.004733562873804198,-0.18577931490553945,-0.017426137941402162
20,-2.5,-4.0,False,extrap_alpha,0.06384127873358397,0.03969673647807588,0.017545378732743432,-0.002584209080577876,-0.17655331237092242,-0.013450841621827107
20,-2.5,-3.0,False,extrap_alpha,0.0608079519254546,0.03372305257592985,-0.01866722098662752,0.007023021567889223,-0.16437940678456459,-0.004174905379225212
20,-2.5,-2.0,False,extrap_alpha,0.06037289297850065,0.03423761963261204,-0.003933273261874959,0.001641928435049486,-0.1698377517196284,-0.0032825712042036537
